,序号,企业名称,经营状态,法定代表人,注册资本,注册资本币种,成立日期,核准日期,所属省,所属市,所属区/县,统一社会信用代码,联系电话,邮箱,参保人,企业性质,组织形式,国标行业门类,国标行业大类,国标行业中类,国标行业小类,网址,注册地址,通信地址,是否发行债券,经营范围
0,1.0,北京金开连泰房地产开发有限公司,在营,田璞,13.44亿,人民币,2018-11-16,2023-12-08,北京市,-,朝阳区,91110105MA01FN8B3N,010-64717244,3462795@qq.com,11,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,北京市朝阳区崔各庄乡南春路1号一层152室,-,曾有债券发行,房地产开发；物业管理；房地产信息咨询；货物进出口；技术进出口；销售自行开发的商品房；工程勘察；工程设计。（市场主体依法自主选择经营项目，开展经营活动；工程勘察、工程设计以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
1,2.0,广东建方房屋租赁管理有限公司,在营,周松,"4,000万",人民币,2017-12-26,2023-12-07,广东省,广州市,天河区,91440101MA5ANGBN2P,32612500,giantfind@163.com,117,港澳台企业,有限责任公司,房地产业,房地产业,房地产租赁经营,房地产租赁经营,-,广州市天河区金穗路14号四楼405,-,曾有债券发行,物业管理;房屋租赁;房地产中介服务;家庭服务;停车场经营;场地租赁（不含仓储）;向游客提供旅游、交通、住宿、餐饮等代理服务（不涉及旅行社业务）;家具安装;商品零售贸易（许可审批类商品除外）;代收代缴水电费;信息技术咨询服务;室内装饰、装修;冷气供应;商品批发贸易（许可审批类商品除外）;室内装饰设计服务;自行车存放服务;房地产咨询服务;数据处理和存储服务;技术服务(不含许可审批项目);信息电子技术服务;电子工程设计服务;资产评估服务;
2,3.0,新力地产集团有限公司,在营,张良剑,32亿,人民币,2017-03-14,2021-09-30,广东省,深圳市,福田区,91440300MA5EDTAN0L,02134031888,xiameili@xinlizd.com,-,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.sinicdc.com,深圳市福田区福田街道口岸社区福田南路38号广银大厦1315-B22,上海市闵行区申长路988弄虹桥万科中心6号楼6-7层,曾有债券发行,一般经营项目是：房地产开发及经营；房地产信息咨询；建筑设计咨询；工程管理咨询；企业管理咨询服务；投资兴办实业（具体项目另行申报）。（以上法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营），许可经营项目是：
3,4.0,慕盛(北京)公寓管理有限公司,在营,徐浩兵,"2,000万",人民币,2016-12-27,2022-07-13,北京市,-,石景山区,91110105MA00ARLM94,85175199,houyi@tahoecn.com,0,民营企业,有限责任公司,房地产业,房地产业,物业管理,物业管理,-,北京市石景山区鲁谷路51号院3号楼B塔3层308,-,曾有债券发行,物业管理；酒店管理；出租办公用房、商业用房；会议服务；清洁服务（不含餐具消毒）；组织文化艺术交流活动（不含演出）；经济贸易咨询；承办展览展示活动；企业管理咨询；销售建筑材料（不从事实体店铺经营）；工程勘察设计；计算机系统服务；基础软件服务；软件开发；技术开发。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
4,5.0,苏州星岛仁恒置业有限公司,在营,魏丽静,1.4亿,人民币,2016-10-19,2024-01-09,江苏省,苏州市,姑苏区,91320508MA1MXD4R0U,051267626666,315491089@qq.com,1,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,苏州市普福寺弄27-5号,江苏省苏州市普福寺弄27-5号,曾有债券发行,房地产开发与经营（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：企业管理；企业管理咨询；商业综合体管理服务；物业管理；停车场服务；非居住房地产租赁（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
5,6.0,宁德恒大置业有限公司,在营,陈勇,"2,000万",人民币,2016-09-02,2021-05-13,福建省,宁德市,蕉城区,91350901MA34AKMX5L,18859310028,834391757@qq.com,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,福建省宁德市东侨经济技术开发区尚德路8号东侨开发区管委会办公楼3号楼206室,-,曾有债券发行,房地产开发、销售；室内装饰工程、机电设备安装工程、园艺工程施工；物业管理；房产中介服务；房屋租赁。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
6,7.0,北京居业置业有限公司,在营,林宇,39.61亿,人民币,2016-03-23,2023-06-28,北京市,-,朝阳区,91110105MA004BUE4H,010-85959599,jtzcb@radiance.com.cn,0,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,北京市朝阳区望京东园四区6号楼37层3701号14,-,曾有债券发行,房地产开发；物业管理；出租商业用房。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
7,8.0,福建省碧桂园投资有限公司,在营,曹连生,2.33亿,人民币,2015-09-21,2023-08-22,福建省,福州市,平潭县,91350128MA32TBKT74,0591-83265576,-,86,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,平潭综合实验区金井湾商务营运中心4号楼1708-6-007层,-,曾有债券发行,对第一产业、第二产业、第三产业的投资（法律、法规另有规定除外），会计、审计及税务服务，人力资源服务（不含劳务派遣），工程管理服务，企业管理咨询（不含需审批的项目），供应链管理，提供企业营销策划服务，投资管理咨询，信息技术咨询服务，商务信息咨询。（不含金融、证券、期货）（依法须经批准的项目，经相关部门批准后方可开展经营活动）
8,9.0,河南兴汉正商置业有限公司,在营,王金虎,"5,000万",人民币,2015-08-19,2021-11-23,河南省,郑州市,惠济区,914101003561524435,0371-66815299,zensungroup@zensunholdings.com,81,港澳台企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,-,河南省郑州市惠济区汉启路12号院4号楼3楼,-,曾有债券发行,许可项目：房地产开发经营（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：住房租赁；非居住房地产租赁；建筑材料销售；企业管理咨询；销售代理；市场营销策划；房地产咨询（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）
9,10.0,正荣地产控股有限公司,在营,金明捷,82亿,人民币,2015-07-22,2024-01-29,上海市,-,闵行区,913101123508402537,021-62376766,-,77,民营企业,有限责任公司,房地产业,房地产业,房地产开发经营,房地产开发经营,www.zhenrodc.com,上海市闵行区沪青平公路277号5楼E23室,上海市闵行区申虹路666弄虹桥正荣中心7号楼,曾有债券发行,对房地产业、贸易业的投资，房地产开发经营，投资咨询服务，企业资产管理，物业管理，企业管理咨询服务，企业形象策划服务，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
