0,2019,2018,2017,2016,2015,2014
营业总收入,36.22亿,108.77亿,88.06亿,56.79亿,44.24亿,43.63亿
同比(%),2.35,23.52,55.06,28.37,1.4,-
利润总额,-7.49亿,8.67亿,8.23亿,6.50亿,7.83亿,6.58亿
净利润,-7.66亿,4.75亿,4.97亿,3.39亿,5.43亿,3.03亿
同比(%),-4304.33,-4.43,46.61,-37.57,79.21,-
资产总计,512.48亿,481.89亿,463.55亿,341.55亿,243.93亿,189.78亿
同比(%),2.43,3.96,35.72,40.02,28.53,-
负债总计,417.65亿,391.88亿,382.70亿,281.20亿,194.61亿,160.04亿
所有者权益总计,94.83亿,90.01亿,80.85亿,60.34亿,49.31亿,29.74亿
同比(%),10.34,11.33,33.99,22.37,65.8,-
经营活动产生的现金流量净额,-31.89亿,13.22亿,3.22亿,-39.60亿,10.87亿,-10.44亿
每股净资产(元),4.89,5.41,6.01,18.34,16.96,32.18
每股经营现金流(元),-3.18,1.65,0.40,-19.80,5.44,-16.06
加权净资产收益率(%),-13.78,3.31,6.21,6.76,12.93,21.52
毛利率(%),16.59,26.98,27.96,24.92,31.40,34.72
净利率(%),-21.15,4.37,5.64,5.97,12.27,6.94
资产负债率(%),81.50,81.32,82.56,82.33,79.78,84.33
流动比率,1.41,1.50,1.61,2.33,1.38,1.52
速动比率,0.74,0.78,0.69,0.80,0.44,0.47
