0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,691.79万,3402.97万,1.81亿,3.39亿,2.56亿,2.21亿,2.99亿,3.96亿,3.05亿,1.02亿
同比(%),-56.95,-81.23,-46.6,32.74,15.63,-26.04,-24.56,29.98,197.59,440.7
利润总额,-240.30万,847.84万,-2046.25万,-291.44万,-1545.59万,-1842.14万,-3883.05万,1583.47万,997.71万,365.24万
净利润,-240.28万,847.38万,-2299.43万,-289.56万,-1541.41万,-1831.61万,-3730.82万,1383.94万,817.29万,280.47万
同比(%),-129.85,136.85,-694.11,81.21,15.84,50.91,-369.58,69.33,191.4,304.13
资产总计,1345.87万,1452.40万,2739.02万,5241.49万,5388.15万,6537.65万,9905.10万,1.60亿,5171.72万,2274.24万
同比(%),-34.2,-46.97,-47.74,-2.72,-17.58,-34,-38.11,209.44,127.4,74.48
负债总计,1294.00万,1160.26万,3294.25万,3497.29万,2492.24万,2116.98万,3699.62万,5706.93万,1988.97万,1388.78万
所有者权益总计,51.86万,292.15万,-555.23万,1744.20万,2895.91万,4420.68万,6205.48万,1.03亿,3182.75万,885.46万
同比(%),-79.22,152.62,-131.83,-39.77,-34.49,-28.76,-39.73,223.51,259.45,60.67
经营活动产生的现金流量净额,166.27万,-723.36万,-1231.72万,362.91万,-1012.17万,-778.42万,-3242.85万,205.02万,22.85万,347.54万
基本每股收益(元),-0.07,0.23,-0.62,-0.08,-0.41,-0.50,-1.01,0.44,0.60,0.48
稀释每股收益(元),-0.07,0.23,-0.62,-0.08,-0.41,-0.50,-1.01,0.44,0.60,0.48
每股净资产(元),0.01,0.08,-0.15,0.71,0.78,1.20,1.68,2.79,1.49,1.38
每股经营现金流(元),0.06,-0.24,-0.28,0.01,-0.21,-0.36,-1.25,1.72,0.63,0.22
加权净资产收益率(%),-150.28,-644.19,-157.17,-10.76,-43.00,-40.59,-50.06,7.56,24.12,16.88
毛利率(%),72.92,54.09,13.36,8.93,10.15,10.79,7.99,14.86,12.12,22.15
净利率(%),-34.73,24.90,-12.68,-0.85,-6.03,-8.28,-12.48,3.49,2.68,2.74
资产负债率(%),96.15,79.89,120.27,50.15,46.25,32.38,37.35,35.66,38.46,61.07
流动比率,0.82,1.01,0.72,1.78,1.93,2.77,2.42,2.65,2.51,1.58
速动比率,0.82,1.01,0.72,1.78,1.93,2.77,2.42,2.65,2.51,1.58
