0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,7.71亿,10.57亿,12.64亿,10.02亿,8.59亿,6.52亿,5.93亿,5.24亿,4.76亿,4.25亿
同比(%),49.1,-16.39,26.12,16.73,31.73,9.88,13.13,10.23,12,28.21
利润总额,-7890.81万,-1.48亿,2.17亿,1.89亿,1.36亿,1.34亿,1.27亿,1.25亿,1.08亿,8558.25万
净利润,-5642.51万,-1.27亿,1.96亿,1.71亿,1.20亿,1.16亿,1.09亿,1.04亿,9160.39万,7068.88万
同比(%),60.25,-164.55,15.1,41.69,3.87,6.43,4.48,13.8,29.59,20.25
资产总计,32.66亿,34.66亿,23.88亿,22.24亿,14.71亿,10.61亿,10.07亿,8.75亿,5.99亿,4.74亿
同比(%),-2.99,45.16,7.34,51.23,38.58,5.42,15.01,46.22,26.26,18.01
负债总计,12.60亿,13.52亿,10.54亿,9.04亿,3.48亿,2.17亿,2.78亿,2.54亿,2.84亿,2.42亿
所有者权益总计,20.07亿,21.14亿,13.34亿,13.20亿,11.22亿,8.45亿,7.29亿,6.21亿,3.14亿,2.32亿
同比(%),-3.06,58.5,1.02,17.65,32.88,15.87,17.42,97.5,35.52,33.06
经营活动产生的现金流量净额,-1.69亿,-1.45亿,-4475.65万,2.07亿,8973.74万,6220.97万,5051.23万,8741.94万,6197.80万,1063.21万
基本每股收益(元),-0.12,-0.30,0.47,0.40,0.29,0.30,0.28,0.31,0.27,0.20
稀释每股收益(元),-0.12,-0.30,0.45,0.40,0.29,0.30,0.28,0.31,0.27,0.20
每股净资产(元),3.65,3.87,2.90,2.88,2.63,2.19,1.89,1.62,6.31,4.56
每股经营现金流(元),-0.33,-0.28,-0.11,0.48,0.21,0.16,0.13,0.23,1.24,0.21
加权净资产收益率(%),-2.93,-11.38,15.22,14.53,11.51,14.78,16.20,27.61,33.63,35.51
毛利率(%),52.29,55.61,62.73,65.62,67.66,69.00,72.77,72.36,70.37,67.63
净利率(%),-7.32,-11.99,15.53,17.02,14.02,17.78,18.36,19.88,19.26,16.64
资产负债率(%),38.57,39.00,44.13,40.63,23.69,20.41,27.59,29.07,47.48,51.07
流动比率,2.33,2.39,2.19,2.93,3.30,3.58,2.75,3.47,2.13,1.74
速动比率,1.97,2.14,1.98,2.70,3.01,3.19,2.38,3.07,1.67,1.25
