0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2.19亿,5.08亿,9.55亿,9.26亿,8.54亿,7.30亿,4.86亿,3.87亿,1.33亿,1.31亿
同比(%),-29.94,-46.81,3.22,8.34,17.1,49.98,25.64,192.12,1.32,285.36
利润总额,-4003.02万,3112.33万,3.54亿,3.41亿,3.10亿,1.66亿,6225.75万,8020.07万,2741.50万,1768.72万
净利润,-3173.37万,2002.59万,3.03亿,2.93亿,2.66亿,1.29亿,4155.18万,6256.66万,1983.77万,1508.43万
同比(%),-87.9,-93.4,3.48,10.22,106.75,209.64,-33.59,215.39,31.51,132.22
资产总计,31.97亿,33.00亿,35.84亿,10.71亿,8.52亿,6.10亿,5.34亿,3.89亿,1.20亿,7821.08万
同比(%),-2.44,-7.92,234.55,25.78,39.56,14.3,37.27,223.03,53.97,426.12
负债总计,1.52亿,2.05亿,4.02亿,3.60亿,3.73亿,3.50亿,3.60亿,2.59亿,6338.38万,4555.40万
所有者权益总计,30.46亿,30.96亿,31.83亿,7.12亿,4.78亿,2.60亿,1.74亿,1.30亿,5703.82万,3265.68万
同比(%),-0.42,-2.73,347.27,48.75,83.9,49.63,34.12,127.26,74.66,15313.19
经营活动产生的现金流量净额,5171.64万,5629.47万,1.02亿,1.58亿,1.96亿,1.52亿,1.17亿,9615.71万,1567.47万,568.81万
基本每股收益(元),-0.21,0.16,2.59,4.87,4.42,2.14,1.65,3.51,0.90,5.03
稀释每股收益(元),-0.21,0.16,2.59,4.87,4.42,2.14,1.65,3.51,0.90,5.03
每股净资产(元),23.80,24.16,39.75,11.81,7.94,4.32,7.97,5.81,2.59,10.89
每股经营现金流(元),0.40,0.44,1.27,2.63,3.26,2.54,4.67,3.85,0.71,1.90
加权净资产收益率(%),-0.89,0.67,12.97,50.60,69.83,62.10,30.58,80.64,47.66,60.06
毛利率(%),31.35,42.68,49.16,49.79,48.82,49.64,48.19,59.49,55.00,50.51
净利率(%),-14.47,3.94,31.76,31.68,31.14,17.64,8.54,24.21,14.97,11.53
资产负债率(%),4.75,6.20,11.20,33.58,43.84,57.38,67.44,66.06,52.63,58.25
流动比率,16.97,12.93,9.34,2.76,2.01,1.55,1.33,1.45,1.77,1.50
速动比率,16.97,12.93,9.34,2.76,2.01,1.55,1.33,1.45,1.77,1.50
