0,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,398.15万,1302.80万,925.88万,2095.96万,2901.07万,2528.27万,988.89万,2591.32万,1980.16万
同比(%),-69.44,40.71,-55.83,-27.75,14.75,155.67,-61.84,30.86,319.72
利润总额,-1812.03万,-1934.12万,-2538.16万,-1705.36万,40.30万,185.43万,-1579.49万,269.43万,81.85万
净利润,-1812.03万,-2057.10万,-2510.95万,-1694.10万,72.54万,212.41万,-1574.32万,282.22万,86.57万
同比(%),11.91,18.07,-48.22,-2435.53,-65.85,113.49,-657.84,226.02,115.81
资产总计,251.46万,1120.77万,2110.36万,3432.60万,4244.37万,3508.78万,2530.04万,2484.87万,1753.21万
同比(%),-77.56,-46.89,-38.52,-19.13,20.96,38.68,1.82,41.73,95.38
负债总计,4640.85万,3757.53万,2690.02万,1501.32万,3626.58万,2963.53万,2197.20万,577.71万,2828.26万
所有者权益总计,-4389.39万,-2636.76万,-579.67万,1931.28万,617.79万,545.25万,332.84万,1907.16万,-1075.06万
同比(%),-66.47,-354.88,-130.01,212.61,13.3,63.82,-82.55,277.4,7.45
经营活动产生的现金流量净额,-170.44万,-177.38万,-181.43万,-2690.29万,3058.46万,-243.20万,-155.63万,-2488.25万,600.00万
基本每股收益(元),-1.25,-1.42,-1.74,-1.29,0.06,0.18,-1.31,0.24,0.17
稀释每股收益(元),-1.25,0.00,-1.74,-1.22,0.06,0.18,-1.31,0.24,0.17
每股净资产(元),-3.04,-1.83,-0.40,1.34,0.51,0.45,0.28,1.59,-2.15
每股经营现金流(元),-0.12,-0.12,-0.27,0.21,0.14,-0.04,0.06,-0.10,0.51
加权净资产收益率(%),0.00,0.00,-382.40,-88.38,-40.71,-11.57,-156.16,18.00,0.00
毛利率(%),-84.12,-8.99,-67.09,31.98,56.68,52.06,-27.87,70.45,79.23
净利率(%),-455.11,-157.90,-271.20,-80.83,2.50,8.40,-159.20,10.89,4.37
资产负债率(%),1845.55,335.26,127.47,43.74,85.44,84.46,86.84,23.25,161.32
流动比率,0.03,0.13,0.32,1.25,0.58,0.57,0.55,2.82,0.36
速动比率,0.03,0.13,0.32,1.25,0.58,0.57,0.55,2.82,0.36
