0,2023,2022,2021,2020,2019,2018,2017,2016
营业总收入,8.04亿,24.23亿,30.20亿,33.47亿,22.74亿,20.64亿,16.95亿,28.56亿
同比(%),-19.77,-19.76,-9.76,47.14,10.17,21.76,-40.63,-
利润总额,1.35亿,3.40亿,3.98亿,9.98亿,3.11亿,5.98亿,4.83亿,8.14亿
净利润,9265.57万,2.40亿,2.85亿,7.36亿,2.22亿,4.48亿,3.55亿,6.03亿
同比(%),42.56,-15.96,-61.27,232.19,-50.52,26.11,-41.12,-
资产总计,167.98亿,153.92亿,151.94亿,138.46亿,151.76亿,139.18亿,124.42亿,123.38亿
同比(%),13.19,1.31,9.73,-8.76,9.04,11.86,0.84,-
负债总计,107.36亿,94.23亿,92.64亿,80.02亿,98.67亿,86.32亿,74.04亿,77.18亿
所有者权益总计,60.62亿,59.69亿,59.30亿,58.44亿,53.08亿,52.86亿,50.38亿,46.20亿
同比(%),1.12,0.67,1.46,10.09,0.43,4.92,9.04,-
经营活动产生的现金流量净额,9.89亿,19.64亿,3.53亿,4.86亿,19.97亿,5.09亿,-3.70亿,27.27亿
每股净资产(元),2.26,2.22,2.20,2.17,1.96,1.95,1.85,1.74
每股经营现金流(元),0.40,0.79,0.14,0.19,0.80,0.20,-0.15,1.09
加权净资产收益率(%),1.62,4.30,5.21,14.20,4.57,9.30,8.08,14.03
毛利率(%),60.83,52.15,53.76,47.40,46.94,53.33,57.21,46.91
净利率(%),11.53,9.88,9.44,21.99,9.74,21.69,20.94,21.11
资产负债率(%),63.91,61.22,60.97,57.79,65.02,62.02,59.51,62.55
流动比率,1.80,2.34,2.39,2.22,1.89,1.94,2.73,1.90
速动比率,0.58,0.69,0.56,0.51,0.58,0.42,0.45,0.46
