0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1044.78万,4230.71万,4414.42万,4360.45万,4405.14万,3245.58万,2901.14万,3062.72万,2684.30万,2059.75万
同比(%),-32.84,-4.16,1.24,-1.01,35.73,11.87,-5.28,14.1,30.32,-
利润总额,-47.67万,137.40万,145.59万,76.90万,170.79万,114.80万,-1.41万,41.47万,43.62万,76.46万
净利润,-52.34万,138.35万,142.40万,70.02万,140.46万,119.33万,-3.34万,24.77万,29.32万,52.68万
同比(%),-164.11,-2.84,103.37,-50.15,17.71,3668.79,-113.5,-15.5,-44.35,-
资产总计,4750.09万,4602.24万,4594.73万,3928.24万,3060.24万,2283.96万,3487.16万,3682.31万,1657.19万,2484.83万
同比(%),2.58,0.16,16.97,28.36,33.99,-34.5,-5.3,122.2,-33.31,-
负债总计,2700.60万,2500.41万,2643.44万,2124.65万,1326.67万,675.70万,1998.22万,2190.03万,982.07万,889.03万
所有者权益总计,2049.49万,2101.83万,1951.29万,1803.59万,1733.57万,1608.26万,1488.94万,1492.28万,675.12万,1595.80万
同比(%),0.81,7.72,8.19,4.04,7.79,8.01,-0.22,121.04,-57.69,-
经营活动产生的现金流量净额,-2.37万,365.08万,-447.74万,-256.59万,-28.14万,-706.10万,-148.88万,313.58万,379.56万,105.91万
基本每股收益(元),-0.03,0.09,0.09,0.04,0.15,0.12,0.00,0.03,0.02,0.03
稀释每股收益(元),-0.03,0.09,0.09,0.04,0.15,0.12,0.00,0.03,0.02,0.03
每股净资产(元),1.24,1.28,1.19,1.10,1.79,1.66,1.54,1.54,1.04,0.82
每股经营现金流(元),-0.04,-0.05,-0.17,0.06,-0.03,0.19,-0.57,0.34,0.49,0.01
加权净资产收益率(%),-3.54,6.24,7.12,3.45,8.08,3.86,-6.20,2.60,1.49,3.36
毛利率(%),30.27,31.20,30.44,29.41,28.87,29.04,31.43,29.52,24.47,25.24
净利率(%),-5.01,3.27,3.23,1.61,3.19,3.68,-0.12,0.81,1.09,2.56
资产负债率(%),0.00,54.33,57.53,54.09,43.35,29.58,57.30,59.47,59.26,35.78
流动比率,0.00,1.56,1.48,1.50,1.83,3.32,0.69,1.32,1.55,2.76
速动比率,0.00,1.42,1.38,1.42,1.41,2.03,0.50,0.79,0.85,1.50
