0,2019,2018,2017,2016,2015,2014
营业总收入,19.82亿,40.06亿,42.43亿,29.90亿,29.74亿,23.27亿
同比(%),-9.54,-5.59,41.93,0.52,27.8,0.87
利润总额,7.58亿,27.33亿,23.03亿,26.48亿,16.66亿,10.73亿
净利润,6.26亿,21.82亿,17.77亿,17.36亿,13.40亿,7.81亿
同比(%),-11.58,22.76,2.37,29.58,71.57,-53.4
资产总计,701.96亿,694.98亿,646.08亿,576.42亿,535.74亿,442.48亿
同比(%),7.45,7.57,12.09,7.59,21.08,1.96
负债总计,341.68亿,340.97亿,314.92亿,267.41亿,239.58亿,171.29亿
所有者权益总计,360.28亿,354.02亿,331.15亿,309.01亿,296.16亿,271.19亿
同比(%),6.52,6.9,7.17,4.34,9.21,2.32
经营活动产生的现金流量净额,13.13亿,24.21亿,28.43亿,16.95亿,5.09亿,20.63亿
每股净资产(元),19.25,18.89,17.57,16.35,15.39,137.73
每股经营现金流(元),1.31,2.42,2.84,1.69,0.51,20.63
加权净资产收益率(%),1.90,6.75,5.71,6.37,5.24,2.62
毛利率(%),67.08,64.33,67.39,73.97,68.26,69.23
净利率(%),31.60,54.47,41.89,58.08,45.06,33.56
资产负债率(%),48.67,49.06,48.74,46.39,44.72,38.71
流动比率,1.19,1.03,1.12,1.19,1.17,1.52
速动比率,1.08,0.93,0.94,0.81,0.81,0.81
