0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1.39亿,1.34亿,3.41亿,3.18亿,2.67亿,2.41亿,1.61亿,9541.25万,1.09亿,9058.45万
同比(%),38.35,-60.75,7.25,19.33,10.43,49.99,68.71,-12.68,20.62,7.01
利润总额,-2873.33万,-1.83亿,5283.57万,8333.19万,7328.96万,6516.48万,3504.72万,-1034.91万,3433.57万,1922.14万
净利润,-2555.33万,-1.79亿,4688.17万,7291.84万,6366.53万,5727.74万,2923.46万,-1086.73万,3017.08万,1749.30万
同比(%),69.73,-480.98,-35.71,14.53,11.15,95.92,369.01,-136.02,72.47,-31.04
资产总计,8.05亿,7.96亿,9.34亿,3.98亿,3.09亿,2.58亿,1.98亿,1.24亿,1.31亿,6300.11万
同比(%),-2.62,-14.79,134.92,28.73,19.83,30.24,59.7,-5.48,108.11,-21.32
负债总计,1.65亿,1.32亿,1.03亿,7621.91万,6039.98万,7293.90万,4738.97万,1684.56万,1594.00万,500.12万
所有者权益总计,6.39亿,6.64亿,8.31亿,3.21亿,2.48亿,1.85亿,1.51亿,1.07亿,1.15亿,5799.99万
同比(%),-11.88,-20.05,158.54,29.34,34.45,22.79,40.57,-7.03,98.57,22.34
经营活动产生的现金流量净额,-5249.29万,-2239.42万,-6200.11万,-2058.54万,-6106.92万,3912.53万,7515.24万,422.86万,1255.30万,-1594.06万
基本每股收益(元),-0.38,-2.80,0.86,2.29,2.00,1.91,0.98,-0.36,1.30,5.83
稀释每股收益(元),-0.38,-2.80,0.86,2.29,2.00,1.91,0.98,-0.36,1.30,5.83
每股净资产(元),9.55,9.93,19.60,10.11,7.82,5.81,5.02,4.08,3.84,19.33
每股经营现金流(元),-0.83,-0.35,-1.46,-0.65,-1.92,1.23,2.51,0.14,0.42,-5.31
加权净资产收益率(%),-3.88,-24.35,8.72,25.59,29.39,35.90,24.09,-11.11,32.33,32.83
毛利率(%),31.88,-35.08,45.32,48.11,51.87,52.31,51.93,54.11,54.55,50.37
净利率(%),-18.41,-133.35,13.74,22.92,23.88,23.72,18.16,-11.39,27.61,19.31
资产负债率(%),20.55,16.53,11.04,19.17,19.55,28.30,23.95,13.59,12.16,7.94
流动比率,4.21,5.14,8.01,4.76,4.74,3.31,3.98,6.64,7.19,11.23
速动比率,4.19,5.04,8.01,4.76,4.74,3.31,3.98,6.64,7.19,11.23
