0,2018,2017,2016,2015,2014
营业总收入,2.80亿,11.63亿,7.43亿,3903.03万,1923.30万
同比(%),-53.4,56.38,1804.62,102.93,-
利润总额,-6522.85万,-1.92亿,-1.60亿,-1.98亿,-1.58亿
净利润,-6522.85万,-2.10亿,-1.60亿,-2.19亿,-1.98亿
同比(%),67.72,-30.99,26.81,-10.81,-
资产总计,229.34亿,212.61亿,226.77亿,120.05亿,90.12亿
同比(%),0.5,-6.25,88.9,33.21,-
负债总计,197.01亿,179.63亿,194.33亿,66.25亿,32.57亿
所有者权益总计,32.32亿,32.98亿,32.44亿,53.80亿,57.55亿
同比(%),6.27,1.66,-39.7,-6.53,-
经营活动产生的现金流量净额,-8086.56万,-1.34亿,-15.28亿,-9.38亿,-10.66亿
基本每股收益(元),-,-,-,-0.03,-
稀释每股收益(元),-,-,-,-0.03,-
每股净资产(元),0.81,0.82,0.81,0.93,0.95
每股经营现金流(元),-0.02,-0.03,-0.38,-0.23,-0.27
加权净资产收益率(%),-1.92,-6.39,-4.59,-3.35,-4.85
毛利率(%),35.03,23.76,46.79,76.40,71.74
净利率(%),-23.29,-18.06,-21.57,-561.17,-1027.67
资产负债率(%),85.91,84.49,85.70,55.19,36.14
流动比率,1.99,8.51,6.79,7.39,6.47
速动比率,0.81,3.48,3.58,2.32,1.28
