0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,183.84亿,275.65亿,298.72亿,233.51亿,136.93亿,109.07亿,113.03亿,132.59亿,190.11亿,85.87亿
同比(%),-19.03,-7.72,27.93,70.53,25.54,-3.5,-14.75,-30.26,121.38,52
利润总额,67.78亿,94.72亿,130.21亿,121.26亿,71.54亿,40.51亿,53.55亿,70.57亿,114.61亿,45.43亿
净利润,57.02亿,75.17亿,102.35亿,95.37亿,55.30亿,31.03亿,40.62亿,53.13亿,86.52亿,33.98亿
同比(%),-11.52,-26.55,7.32,72.46,78.18,-23.59,-23.56,-38.59,154.6,91.14
资产合计,5225.42亿,5092.06亿,4527.91亿,3712.28亿,2856.70亿,1950.82亿,2058.83亿,1816.95亿,1831.88亿,1234.06亿
同比(%),11.19,12.46,21.97,29.95,46.44,-5.25,13.31,-0.82,48.44,83.07
负债合计,4260.54亿,4159.10亿,3727.85亿,3031.57亿,2287.75亿,1472.19亿,1618.85亿,1404.32亿,1530.05亿,1066.78亿
所有者权益（或股东权益）合计,964.88亿,932.96亿,800.06亿,680.71亿,568.95亿,478.63亿,439.99亿,412.63亿,301.83亿,167.28亿
同比(%),3.76,16.61,17.53,19.64,18.87,8.78,6.63,36.71,80.43,27.17
经营活动产生的现金流量净额,-43.54亿,399.90亿,111.19亿,-207.56亿,366.91亿,45.03亿,-457.89亿,48.30亿,164.84亿,190.59亿
基本每股收益(元),0.64,0.86,1.25,1.20,0.67,0.38,0.51,0.81,1.37,0.56
稀释每股收益(元),0.64,0.86,1.25,1.20,0.67,0.38,0.51,0.81,1.37,0.56
每股净资产(元),9.22,8.81,8.36,7.45,6.09,5.57,5.35,5.03,4.12,2.73
每股经营现金流(元),-0.56,5.16,1.43,-2.68,4.80,0.59,-6.32,0.67,2.70,3.12
加权净资产收益率(%),7.05,9.99,15.80,18.18,11.51,6.79,9.90,18.10,40.00,22.90
净利率(%),31.02,27.27,34.26,40.84,40.38,28.45,35.93,40.07,45.51,39.57
资产负债率(%),81.53,81.68,82.33,81.66,80.08,75.47,78.63,77.29,83.52,86.44
