0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,15.80亿,21.77亿,51.74亿,56.63亿,41.00亿,35.64亿,27.93亿,23.07亿,19.31亿,12.04亿
同比(%),25.45,-57.93,-8.63,38.11,15.05,27.61,21.05,19.48,60.38,138.53
利润总额,-3.65亿,-8.07亿,-3.56亿,1.99亿,2.90亿,2.60亿,2.85亿,2.96亿,2.66亿,1.50亿
净利润,-3.04亿,-7.03亿,-3.15亿,1.69亿,2.47亿,2.21亿,2.39亿,2.48亿,2.25亿,1.30亿
同比(%),-71.49,-123.44,-286.09,-31.52,11.7,-7.33,-3.59,9.93,73.09,84.04
资产总计,83.63亿,84.77亿,101.46亿,106.04亿,90.08亿,85.01亿,68.50亿,56.63亿,47.48亿,30.30亿
同比(%),-5.71,-16.45,-4.32,17.71,5.96,24.12,20.95,19.27,56.7,198.49
负债总计,56.68亿,54.87亿,64.65亿,65.04亿,48.61亿,46.15亿,33.73亿,23.97亿,20.58亿,13.45亿
所有者权益总计,26.96亿,29.90亿,36.81亿,41.00亿,41.47亿,38.86亿,34.76亿,32.66亿,26.91亿,16.85亿
同比(%),-23.24,-18.78,-10.21,-1.14,6.72,11.8,6.43,21.39,59.66,98.56
经营活动产生的现金流量净额,3090.75万,3.00亿,2.15亿,-2.08亿,1.48亿,1.15亿,1.50亿,-1.61亿,-1.10亿,-2.39亿
基本每股收益(元),-0.17,-0.39,-0.17,0.10,0.14,0.12,0.13,0.14,0.13,0.14
稀释每股收益(元),-0.14,-0.34,-0.14,0.12,0.15,0.13,0.13,0.14,0.13,0.14
每股净资产(元),1.39,1.55,1.94,2.17,2.19,2.05,1.91,1.81,2.24,3.22
每股经营现金流(元),0.02,0.17,0.12,-0.12,0.08,0.06,0.08,-0.09,-0.09,-0.46
加权净资产收益率(%),-10.70,-21.38,-8.16,4.57,6.30,6.05,7.05,9.17,12.82,10.89
毛利率(%),7.71,0.34,9.74,18.14,20.81,22.63,23.53,25.80,29.17,27.38
净利率(%),-19.23,-32.32,-6.09,2.99,6.03,6.21,8.55,10.73,11.66,10.81
资产负债率(%),67.77,64.75,63.72,61.33,53.96,54.29,49.25,42.33,43.34,44.39
流动比率,1.41,1.28,1.55,1.61,1.52,1.47,1.39,1.53,1.58,1.51
速动比率,1.40,1.25,1.53,1.59,1.02,0.98,0.83,0.88,0.97,0.86
