0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,109.41亿,187.11亿,500.22亿,677.94亿,505.31亿,310.06亿,191.15亿,118.27亿,95.72亿,69.76亿
同比(%),25.11,-62.59,-26.22,34.16,62.97,62.2,61.62,23.56,37.22,21.76
税前利润,-23.97亿,-80.72亿,-362.37亿,136.09亿,105.89亿,69.54亿,36.26亿,20.85亿,18.84亿,14.49亿
净利润,-28.96亿,-84.96亿,-354.88亿,70.51亿,52.22亿,29.39亿,19.52亿,10.07亿,9.07亿,7.83亿
同比(%),17.65,76.06,-603.29,35.03,77.65,50.59,93.91,10.92,15.91,4.09
资产总额,2218.21亿,2344.26亿,2614.23亿,3256.78亿,2898.80亿,1888.58亿,1258.06亿,664.18亿,488.27亿,367.86亿
同比(%),-11.89,-10.33,-19.73,12.35,53.49,50.12,89.41,36.03,32.73,22.9
负债总额,2423.53亿,2520.63亿,2689.53亿,2714.26亿,2528.84亿,1581.24亿,986.80亿,517.87亿,372.51亿,277.52亿
股东权益合计,-205.32亿,-176.37亿,-75.30亿,542.53亿,369.97亿,307.34亿,271.26亿,146.31亿,115.76亿,90.34亿
同比(%),-78.58,-134.23,-113.88,46.64,20.38,13.3,85.4,26.39,28.14,20.07
经营活动产生的现金流量净额,-2.71亿,-13.88亿,-131.27亿,-156.59亿,-18.25亿,85.88亿,-67.63亿,59.45亿,-30.23亿,-16.45亿
基本每股收益(元),-0.99,-2.64,-12.14,2.19,1.56,0.90,0.61,0.32,0.29,0.29
每股净资产(元),-8.63,-7.66,-5.23,6.86,5.59,4.43,3.79,3.34,2.96,2.77
每股经营现金净流量(元),-,-0.47,-4.43,-5.79,-,-,-,2.23,-1.09,-0.59
平均净资产收益率(%),12.19,41.04,-2170.19,35.18,31.23,21.87,17.20,10.27,10.18,10.84
销售毛利率(%),6.78,4.49,-23.86,25.09,29.73,31.07,26.74,27.71,27.64,29.63
销售净利率(%),-26.47,-45.41,-70.94,10.4,10.33,9.48,10.21,8.51,9.48,11.22
资产负债率(%),109.26,107.52,102.88,83.34,87.24,83.73,78.44,77.97,76.29,75.44
流动比率,0.84,0.88,0.88,1.41,1.33,1.42,1.54,1.66,1.9,1.63
速动比率,0.25,0.28,0.3,0.64,0.53,0.47,0.51,0.45,0.5,0.4
