0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1613.12亿,1973.54亿,1891.82亿,1592.98亿,1447.83亿,1261.08亿,1095.28亿,1069.27亿,1018.88亿,929.70亿
同比(%),4.89,4.32,18.76,10.03,14.81,15.14,2.43,4.95,9.59,13.1
利润总额,39.39亿,46.26亿,36.02亿,29.79亿,35.46亿,35.30亿,33.63亿,26.95亿,26.44亿,21.56亿
净利润,34.56亿,39.31亿,29.84亿,22.79亿,27.89亿,27.54亿,24.92亿,20.10亿,20.07亿,16.22亿
同比(%),10.97,31.74,30.95,-18.3,1.29,10.5,23.97,0.14,23.75,3.6
资产总计,1742.51亿,1646.92亿,1420.96亿,1238.54亿,1179.92亿,1153.42亿,958.54亿,847.53亿,717.73亿,547.35亿
同比(%),14.29,15.9,14.73,4.97,2.3,20.33,13.1,18.09,31.13,10.67
负债总计,1372.18亿,1315.52亿,1075.26亿,918.62亿,924.89亿,935.42亿,811.22亿,731.61亿,615.12亿,469.45亿
所有者权益总计,370.33亿,331.41亿,345.70亿,319.92亿,255.03亿,218.00亿,147.33亿,115.92亿,102.60亿,77.89亿
同比(%),12.53,-4.13,8.06,25.45,16.99,47.97,27.09,12.98,31.73,20.79
经营活动产生的现金流量净额,-103.55亿,5.28亿,-56.16亿,21.01亿,-38.73亿,38.03亿,-12.60亿,44.88亿,40.49亿,6.30亿
每股净资产(元),2.19,2.01,1.79,3.35,3.38,3.09,2.75,2.25,3.44,3.94
每股经营现金流(元),-1.04,0.05,-0.56,0.42,-0.77,0.76,-0.25,0.90,1.41,0.34
加权净资产收益率(%),15.97,19.76,16.35,13.07,17.14,18.72,19.97,19.04,23.19,23.97
毛利率(%),6.76,8.23,6.88,-,7.10,6.45,5.79,5.43,7.21,6.87
净利率(%),2.14,1.99,1.58,-,1.93,2.18,2.28,1.88,1.97,1.74
资产负债率(%),78.75,79.88,75.67,74.17,78.39,81.10,84.63,86.32,85.70,85.77
流动比率,1.15,1.15,1.16,1.15,1.11,1.07,1.01,1.03,1.03,0.99
速动比率,0.78,0.82,0.86,0.91,0.90,0.71,0.62,0.64,0.57,0.64
