0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,281.49亿,388.04亿,343.90亿,309.89亿,251.83亿,232.54亿,208.31亿,199.41亿,190.89亿,189.42亿
同比(%),-3.28,12.84,10.97,23.06,8.29,11.63,4.46,4.47,0.77,29.81
利润总额,7.44亿,10.04亿,10.18亿,7.71亿,7.22亿,6.68亿,5.54亿,-,7.04亿,6.59亿
净利润,7.05亿,8.80亿,8.65亿,6.49亿,6.15亿,5.19亿,4.23亿,4.31亿,4.92亿,4.88亿
同比(%),2.61,1.64,33.39,5.42,18.62,22.76,-1.83,-12.49,0.83,25.29
资产总计,278.08亿,268.09亿,238.78亿,234.11亿,271.95亿,251.26亿,226.09亿,224.53亿,187.09亿,120.34亿
同比(%),22.27,12.27,2,-13.91,8.23,11.13,0.7,20.01,55.46,75.19
负债总计,197.59亿,193.95亿,175.28亿,178.35亿,226.74亿,212.29亿,191.48亿,195.13亿,158.29亿,101.94亿
所有者权益总计,80.49亿,74.14亿,63.50亿,55.76亿,45.21亿,38.97亿,34.61亿,-,28.80亿,18.40亿
同比(%),14.08,16.75,13.89,23.34,16.02,12.58,-,-,56.51,37.27
经营活动产生的现金流量净额,-16.03亿,3.29亿,7.41亿,23.11亿,4.21亿,6.74亿,20.04亿,29.83亿,5.83亿,-5.48亿
每股净资产(元),4.51,4.07,3.41,2.88,2.89,2.49,2.21,-,1.89,1.84
每股经营现金流(元),-1.07,0.22,0.49,1.54,0.28,0.45,1.34,-,0.39,-0.55
加权净资产收益率(%),10.38,14.88,17.74,14.10,14.57,14.26,12.71,-,21.19,30.68
毛利率(%),7.59,8.23,8.70,8.53,8.73,9.14,8.71,-,9.26,9.15
净利率(%),2.50,2.27,2.52,2.09,2.44,2.23,2.03,2.16,2.58,2.58
资产负债率(%),71.05,72.35,73.41,76.18,83.38,84.49,84.69,86.91,84.61,84.71
流动比率,1.02,0.99,1.01,1.01,0.89,0.89,0.93,-,0.69,0.81
速动比率,0.99,0.97,1.00,0.99,0.86,0.60,0.61,-,0.33,0.64
