0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,263.35万,918.32万,1227.61万,2024.59万,1961.04万,1401.91万,785.15万,726.82万,707.52万,1012.36万
同比(%),-58.28,-25.19,-39.36,3.24,39.88,78.55,8.02,2.73,-30.11,-28.9
利润总额,-78.29万,-788.48万,-289.22万,231.05万,311.83万,109.85万,115.35万,23.66万,-51.98万,55.53万
净利润,-78.33万,-809.64万,-251.35万,147.95万,310.09万,85.78万,86.52万,51.90万,-61.88万,47.08万
同比(%),-362.55,-222.11,-269.89,-52.29,261.5,-0.86,66.71,183.87,-231.45,-16.14
资产总计,2372.50万,2955.53万,3069.35万,3308.53万,2685.49万,2025.66万,1553.68万,1521.12万,1692.03万,1965.76万
同比(%),-27.24,-3.71,-7.23,23.2,32.57,30.38,2.14,-10.1,-13.92,100.39
负债总计,1873.64万,2378.34万,1682.52万,1670.35万,1495.25万,1145.52万,871.31万,925.28万,1148.09万,1359.93万
所有者权益总计,498.85万,577.19万,1386.83万,1638.18万,1190.24万,880.15万,682.37万,595.84万,543.95万,605.83万
同比(%),-64.79,-58.38,-15.34,37.64,35.23,28.98,14.52,9.54,-10.21,8.43
经营活动产生的现金流量净额,-477.71万,19.66万,-68.29万,154.69万,191.77万,370.26万,40.62万,376.56万,305.44万,29.93万
基本每股收益(元),-0.07,-0.70,-0.22,0.19,0.53,0.16,0.17,0.10,-0.14,0.09
稀释每股收益(元),-0.07,-0.70,-0.22,0.19,0.00,0.16,0.17,0.00,-0.14,0.09
每股净资产(元),0.43,0.50,1.19,1.41,1.98,1.52,1.36,1.19,1.09,1.21
每股经营现金流(元),-0.08,0.06,-0.10,0.04,-0.23,0.19,0.17,0.01,-0.13,-0.27
加权净资产收益率(%),-32.45,-82.45,-18.57,10.00,23.78,10.13,5.43,-2.39,-14.00,3.73
毛利率(%),6.41,-1.03,36.77,39.15,39.04,34.35,39.83,42.12,52.14,49.80
净利率(%),-29.75,-88.17,-20.48,7.31,15.81,6.12,11.02,7.14,-8.75,4.65
资产负债率(%),78.97,80.47,54.82,50.49,55.68,56.55,56.08,60.83,67.85,69.18
流动比率,0.95,0.68,0.94,0.96,0.88,0.80,0.64,0.43,0.42,0.59
速动比率,0.86,0.60,0.85,0.92,0.69,0.59,0.57,0.42,0.41,0.58
