0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,23.88亿,31.08亿,47.15亿,35.07亿,24.25亿,16.62亿,13.55亿,10.73亿,8.93亿,7.08亿
同比(%),2.47,-34.09,34.46,44.61,45.89,22.64,26.32,20.14,26.11,24.22
利润总额,9765.67万,1.03亿,-7.01亿,3.57亿,1.28亿,8067.15万,1.37亿,1.41亿,1.36亿,1.17亿
净利润,8097.76万,1.06亿,-5.44亿,3.25亿,1.14亿,5873.21万,1.14亿,1.22亿,1.17亿,9868.24万
同比(%),15.67,119.44,-267.54,184.37,94.41,-48.36,-7.08,5.03,18.09,88.89
资产总计,71.81亿,65.83亿,71.82亿,52.36亿,31.80亿,25.43亿,20.64亿,12.63亿,9.33亿,5.72亿
同比(%),3.95,-8.34,37.17,64.63,25.05,23.2,63.48,35.3,63.04,9.8
负债总计,54.07亿,48.58亿,55.62亿,31.55亿,18.14亿,12.31亿,7.76亿,6.69亿,4.62亿,2.18亿
所有者权益总计,17.74亿,17.26亿,16.20亿,20.81亿,13.66亿,13.12亿,12.88亿,5.94亿,4.71亿,3.55亿
同比(%),3.93,6.51,-22.14,52.33,4.1,1.84,117.01,25.97,32.84,38.53
经营活动产生的现金流量净额,6552.94万,3.24亿,-10.26亿,2.53亿,4.27亿,7997.12万,-9666.14万,1.31亿,1.29亿,3927.07万
基本每股收益(元),0.19,0.25,-1.27,1.15,0.59,0.30,0.72,0.84,0.80,0.68
稀释每股收益(元),0.19,0.24,-1.26,1.15,0.59,0.30,0.72,0.84,0.80,0.68
每股净资产(元),4.13,4.00,5.42,10.09,7.01,6.74,6.61,4.07,3.23,2.43
每股经营现金流(元),0.15,0.75,-3.43,1.23,2.19,0.41,-0.50,0.90,0.88,0.27
加权净资产收益率(%),4.59,6.32,-31.40,21.42,8.41,4.53,14.13,22.98,28.21,32.30
毛利率(%),32.44,32.40,24.02,32.64,33.12,29.49,31.13,36.49,39.05,38.82
净利率(%),3.39,3.40,-11.54,9.26,4.71,3.53,8.39,11.41,13.05,13.94
资产负债率(%),75.29,73.79,77.44,60.26,57.05,48.40,37.58,52.98,49.49,38.01
流动比率,0.72,0.73,0.87,1.34,1.40,1.92,2.33,1.76,1.44,1.39
速动比率,0.66,0.67,0.81,1.27,1.30,1.75,2.10,1.54,1.28,1.16
