0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,15.72亿,45.33亿,53.95亿,52.04亿,60.77亿,73.57亿,73.18亿,70.05亿,74.73亿,77.11亿
同比(%),-51.77,-15.98,3.67,-14.37,-17.39,0.54,4.47,-6.27,-3.09,20.5
税前利润,-616.40万,-3.11亿,-2.47亿,5.36亿,13.07亿,14.85亿,15.99亿,10.31亿,14.42亿,14.92亿
净利润,-4223.80万,-7.36亿,2219.00万,1.97亿,6.38亿,8.04亿,10.94亿,5.74亿,8.21亿,8.97亿
同比(%),-477.39,-3419.03,-88.73,-69.15,-20.59,-26.56,90.59,-30.11,-8.4,4.62
资产总额,392.76亿,396.84亿,432.23亿,454.66亿,438.73亿,430.86亿,370.97亿,359.60亿,345.18亿,361.56亿
同比(%),-5.08,-8.19,-4.93,3.63,1.83,16.14,3.16,4.18,-4.53,-1.38
负债总额,279.13亿,282.78亿,310.22亿,331.55亿,313.38亿,312.48亿,259.55亿,258.13亿,251.10亿,271.77亿
股东权益合计,113.63亿,114.06亿,122.01亿,123.12亿,125.36亿,118.39亿,111.43亿,101.47亿,94.08亿,89.79亿
同比(%),-6.95,-6.52,-0.9,-1.78,5.89,6.24,9.82,7.84,4.78,28.44
经营活动产生的现金流量净额,3.77亿,5.91亿,20.47亿,31.50亿,50.44亿,29.10亿,16.16亿,24.83亿,13.71亿,5.34亿
基本每股收益(元),-0.01,-0.29,-,0.07,0.17,0.32,0.38,0.22,0.32,0.39
每股净资产(元),4.36,4.37,4.66,4.66,4.59,4.40,4.16,3.82,3.64,3.47
每股经营现金净流量(元),-,0.23,0.79,1.22,-,-,0.63,0.96,0.53,0.21
平均净资产收益率(%),-0.32,-6.32,0.02,1.44,3.88,7.54,9.55,5.85,8.94,11.23
销售毛利率(%),19.66,23.39,30.29,23.92,35.06,27.88,24.14,22.05,27.73,31.52
销售净利率(%),-2.69,-16.25,0.41,3.78,10.5,10.92,14.95,8.2,10.99,11.63
资产负债率(%),71.07,71.26,71.77,72.92,71.43,72.52,69.96,71.78,72.74,75.17
流动比率,0.65,0.65,0.75,0.77,0.67,0.81,1.32,1.41,1.07,1.32
速动比率,0.12,0.11,0.17,0.2,0.26,0.38,0.76,0.58,0.51,0.6
