0,2019,2018,2016,2015,2014
营业总收入,22.46亿,36.82亿,18.13亿,16.01亿,16.13亿
同比(%),37.45,-,13.24,-0.74,30.29
利润总额,-,-,2.00亿,1.59亿,1.31亿
净利润,1.85亿,3.34亿,1.61亿,1.30亿,1.09亿
同比(%),20.92,-,23.85,19.27,105.36
资产总计,49.80亿,47.82亿,19.16亿,19.25亿,16.86亿
同比(%),26.17,-,-0.47,14.18,-4.2
负债总计,28.57亿,27.46亿,12.57亿,12.67亿,11.53亿
所有者权益总计,21.22亿,20.36亿,6.60亿,6.59亿,5.33亿
同比(%),14.46,-,0.15,23.64,25.71
经营活动产生的现金流量净额,8268.62万,-2063.26万,2.38亿,1.06亿,1.40亿
基本每股收益(元),-,-,1.09,0.91,0.78
稀释每股收益(元),-,-,1.09,0.91,0.78
每股净资产(元),-,-,4.46,4.61,3.81
每股经营现金流(元),-,-,1.61,0.73,1.00
加权净资产收益率(%),-,-,21.89,21.74,22.80
毛利率(%),-,-,32.54,31.79,28.95
净利率(%),8.24,9.07,8.88,8.12,6.76
资产负债率(%),57.37,57.42,65.58,65.79,68.36
流动比率,-,-,1.20,1.08,1.05
速动比率,-,-,0.92,0.75,0.58
