0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1464.43万,2342.23万,2563.86万,4004.58万,6761.63万,7421.57万,1.02亿,1.01亿,1.25亿,4164.40万
同比(%),-45.99,-8.64,-35.98,-40.77,-8.89,-27.33,1.38,-19.53,200.6,-
利润总额,-208.52万,330.38万,248.97万,103.75万,299.67万,-824.25万,1373.20万,1164.33万,1422.08万,405.43万
净利润,-208.52万,304.25万,248.97万,103.75万,299.73万,-885.00万,1017.39万,871.97万,1065.50万,303.96万
同比(%),-174.14,22.2,139.98,-65.39,133.87,-186.99,16.68,-18.16,250.53,-
资产总计,9195.45万,9848.74万,7839.41万,7466.19万,6878.49万,8129.46万,9370.70万,8425.09万,5509.25万,3233.95万
同比(%),0.42,25.63,5,8.54,-15.39,-13.25,11.22,52.93,70.36,-
负债总计,2945.11万,3389.88万,1684.81万,1656.01万,1172.06万,2722.76万,3079.00万,2962.78万,3210.11万,2736.45万
所有者权益总计,6250.34万,6458.85万,6154.61万,5810.18万,5706.43万,5406.70万,6291.70万,5462.31万,2299.13万,497.50万
同比(%),-2.88,4.94,5.93,1.82,5.54,-14.07,15.18,137.58,362.14,-
经营活动产生的现金流量净额,-329.37万,-902.79万,855.38万,461.09万,2376.82万,-552.37万,-1236.24万,-581.89万,-1115.67万,582.57万
基本每股收益(元),-0.10,0.15,0.17,0.05,0.15,-0.44,0.51,0.52,4.00,1.52
稀释每股收益(元),0.00,0.15,0.16,0.04,0.15,-0.44,0.51,0.52,4.00,1.52
每股净资产(元),3.13,3.23,3.08,2.91,2.85,2.70,3.15,2.73,2.30,2.49
每股经营现金流(元),-0.12,-1.04,-0.66,0.72,0.29,0.53,-0.71,0.85,0.32,-0.60
加权净资产收益率(%),-3.70,3.42,5.44,1.48,4.63,-16.12,17.23,20.28,96.18,87.97
毛利率(%),10.25,41.63,32.43,17.31,18.02,5.57,24.51,21.56,18.64,16.99
净利率(%),-14.24,12.99,13.43,2.59,4.43,-11.92,9.96,8.66,8.51,7.30
资产负债率(%),0.00,34.42,21.49,22.18,17.04,33.49,32.86,35.17,58.27,84.62
流动比率,0.00,1.82,2.88,3.98,5.49,2.87,2.02,1.93,1.44,1.07
速动比率,0.00,1.82,2.88,3.98,5.49,2.87,2.02,1.93,1.44,1.07
