0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1181.66亿,1481.14亿,1405.93亿,1252.54亿,1210.04亿,758.30亿,700.74亿,602.10亿,507.92亿,483.39亿
同比(%),5.77,5.35,12.25,3.51,59.57,8.21,16.38,18.54,5.07,16.4
利润总额,34.34亿,36.85亿,48.45亿,48.35亿,50.82亿,36.41亿,35.71亿,32.98亿,29.35亿,27.63亿
净利润,27.61亿,26.67亿,37.47亿,39.03亿,40.72亿,28.41亿,29.08亿,25.72亿,22.62亿,20.46亿
同比(%),0.22,-28.82,-3.99,-4.15,43.32,-2.31,13.08,13.69,10.59,26.37
资产总计,3663.51亿,3497.40亿,3398.19亿,3503.53亿,3264.86亿,1866.62亿,1671.58亿,1328.99亿,1132.80亿,986.37亿
同比(%),3.42,2.92,-3.01,7.31,74.91,11.67,25.78,17.32,14.85,36.18
负债总计,2829.67亿,2713.02亿,2658.81亿,2775.15亿,2608.52亿,1494.31亿,1368.34亿,1060.53亿,873.82亿,774.00亿
所有者权益总计,833.85亿,784.38亿,739.38亿,728.38亿,656.34亿,372.31亿,303.24亿,268.45亿,258.98亿,212.37亿
同比(%),4.84,6.09,1.51,10.98,76.29,22.78,12.96,3.66,21.94,71.65
经营活动产生的现金流量净额,60.86亿,110.59亿,166.34亿,33.25亿,78.26亿,-66.83亿,-154.99亿,8.77亿,-45.06亿,-58.18亿
每股净资产(元),3.61,3.55,3.42,3.17,7.45,4.78,4.13,9.63,9.63,7.72
每股经营现金流(元),0.81,1.47,2.20,0.44,2.61,-2.23,-5.17,0.80,-4.13,-5.33
加权净资产收益率(%),5.26,8.85,9.47,10.93,10.22,11.46,14.70,9.62,11.02,10.29
毛利率(%),9.69,11.05,12.70,12.74,11.96,13.25,12.85,13.90,15.39,16.13
净利率(%),2.34,1.80,2.67,3.12,3.37,3.75,4.15,4.27,4.45,4.23
资产负债率(%),77.24,77.57,78.24,79.21,79.90,80.05,81.86,79.80,77.14,78.47
流动比率,1.55,1.54,1.52,1.60,1.76,1.83,1.80,1.43,1.43,1.37
速动比率,0.69,0.61,0.62,0.65,0.69,0.70,0.75,0.53,0.51,0.56
