0,2020,2019,2018,2017,2016,2015,2014
营业总收入,6.52亿,13.82亿,11.37亿,7.61亿,6.78亿,6.10亿,-
同比(%),32.94,21.58,49.43,12.27,11.18,-,-
利润总额,4080.62万,5688.54万,2210.21万,-5458.69万,1107.45万,4999.34万,-
净利润,3069.54万,4286.81万,1615.53万,-3952.73万,787.78万,3864.52万,-
同比(%),260.53,165.35,140.87,-601.75,-79.62,-,-
资产总计,12.13亿,11.71亿,8.90亿,7.41亿,5.69亿,5.79亿,-
同比(%),30.19,31.57,20.06,30.24,-1.73,-,-
负债总计,9.44亿,9.33亿,6.94亿,5.62亿,4.17亿,3.63亿,-
所有者权益总计,2.69亿,2.39亿,1.96亿,1.80亿,1.52亿,2.16亿,-
同比(%),31.55,21.82,9.06,18.07,-29.61,-,-
经营活动产生的现金流量净额,-670.81万,1575.46万,1294.46万,700.32万,1163.44万,-4690.58万,-
基本每股收益(元),0.22,0.30,0.11,-0.28,0.06,0.59,0.38
稀释每股收益(元),0.22,0.30,0.11,-0.28,0.06,0.59,0.38
每股净资产(元),1.89,1.68,1.37,1.26,1.54,3.04,1.33
每股经营现金流(元),-0.24,0.09,-0.15,0.12,-0.11,0.85,0.14
毛利率(%),13.48,13.24,10.86,4.64,11.30,16.36,16.22
净利率(%),4.71,3.10,1.42,-5.19,1.16,6.34,4.96
资产负债率(%),77.84,79.63,78.00,75.78,65.36,62.71,73.66
流动比率,1.15,1.14,1.19,1.21,1.46,1.56,1.32
速动比率,1.01,0.97,0.97,1.00,0.93,1.24,1.11
