0,2018,2017,2016,2015,2014
营业总收入,2.02亿,4.92亿,4.33亿,3.30亿,43.83亿
同比(%),-38.88,13.63,31.21,-92.47,-55.64
利润总额,1.08亿,14.80亿,6.36亿,1.98亿,18.64亿
净利润,6437.20万,10.90亿,4.70亿,1.48亿,13.98亿
同比(%),-92.38,131.91,217.57,-89.41,-60.14
资产总计,233.14亿,235.03亿,312.52亿,258.91亿,157.63亿
同比(%),-17.5,-24.8,20.71,64.25,-8.75
负债总计,137.77亿,140.24亿,228.78亿,179.71亿,80.49亿
所有者权益总计,95.37亿,94.79亿,83.74亿,79.20亿,77.14亿
同比(%),3.45,13.19,5.73,2.67,29.1
经营活动产生的现金流量净额,-6887.40万,2.11亿,1.50亿,-3309.80万,-1.26亿
每股净资产(元),14.71,14.62,12.92,12.22,11.90
每股经营现金流(元),-0.11,0.33,0.23,-0.05,-0.19
加权净资产收益率(%),0.67,11.50,5.61,1.87,18.12
毛利率(%),84.82,78.46,84.30,87.17,57.77
净利率(%),31.89,221.54,108.55,44.85,31.90
资产负债率(%),59.09,59.67,73.20,69.41,51.06
流动比率,0.92,0.93,0.91,1.08,1.07
速动比率,0.90,0.91,0.90,1.07,1.04
