0,2022,2021,2020,2019,2018,2017,2016,2015
营业总收入,622.90万,8935.59万,1.75亿,1.40亿,1.07亿,1.03亿,5120.07万,4208.48万
同比(%),-84.86,-49.05,25.04,31.58,3.17,101.82,21.66,-
利润总额,-664.88万,-1151.86万,2345.27万,481.51万,821.79万,358.70万,144.98万,89.36万
净利润,-690.33万,-1123.92万,1771.49万,298.91万,528.76万,230.03万,89.59万,74.10万
同比(%),-148.5,-163.44,492.64,-43.47,129.87,156.76,20.91,-
资产总计,9279.13万,1.05亿,1.49亿,1.33亿,1.08亿,1.22亿,7282.86万,6729.87万
同比(%),-15.31,-29.6,12.38,23.33,-11.26,66.86,8.22,-
负债总计,3343.65万,3899.60万,6720.95万,6645.71万,4428.50万,6375.49万,3532.52万,3069.12万
所有者权益总计,5935.48万,6622.03万,8224.87万,6654.04万,6355.13万,5776.37万,3750.34万,3660.75万
同比(%),-20.49,-19.49,23.61,4.7,10.02,54.02,2.45,-
经营活动产生的现金流量净额,-79.67万,-711.75万,3979.51万,1729.33万,320.27万,-1182.60万,964.87万,1692.31万
基本每股收益(元),-0.17,-0.31,0.50,0.11,0.13,0.07,0.03,0.02
稀释每股收益(元),-0.17,-0.31,0.50,0.11,0.13,0.07,0.03,0.02
每股净资产(元),1.67,1.83,2.27,1.84,1.72,1.59,1.25,1.22
每股经营现金流(元),-0.07,-1.23,0.83,0.51,-0.42,0.25,-0.13,0.40
加权净资产收益率(%),-9.58,-15.13,23.12,5.91,7.98,4.84,2.30,2.03
毛利率(%),-34.42,18.16,29.20,27.42,35.73,26.31,22.92,14.62
净利率(%),-110.83,-12.58,10.10,2.13,4.96,2.23,1.75,1.76
资产负债率(%),36.03,37.06,44.97,49.97,41.07,52.47,48.50,45.60
流动比率,1.83,2.01,1.96,1.65,1.92,1.67,1.81,2.07
速动比率,1.70,1.95,1.93,1.49,1.76,1.54,1.70,1.81
