0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,3074.53万,9142.40万,9946.20万,1.16亿,1.76亿,1.61亿,1.04亿,6091.98万,3344.71万,4215.96万
同比(%),-42.6,-8.08,-14.02,-34.27,9.04,55.33,70.57,82.14,-20.67,17.33
利润总额,-573.71万,-2623.19万,-2874.53万,835.96万,3770.92万,3823.59万,2063.92万,1426.65万,53.91万,513.43万
净利润,-574.21万,-2620.89万,-2367.66万,761.14万,3286.52万,3294.04万,1719.16万,1200.99万,54.65万,423.61万
同比(%),-248.26,-10.7,-411.07,-76.84,-0.23,91.61,43.15,2097.61,-87.1,92.61
资产总计,1.58亿,1.71亿,2.00亿,2.05亿,2.11亿,1.55亿,1.09亿,6730.19万,3427.63万,3522.36万
同比(%),-20.64,-14.32,-2.78,-2.6,35.87,42.54,61.83,96.35,-2.69,7.98
负债总计,5681.16万,6414.39万,6605.15万,4808.08万,5775.92万,3261.03万,1418.60万,1239.23万,743.29万,901.56万
所有者权益总计,1.01亿,1.07亿,1.34亿,1.57亿,1.53亿,1.23亿,9472.81万,5490.96万,2684.33万,2620.80万
同比(%),-26.4,-19.97,-15.05,2.73,24.91,29.46,72.52,104.56,2.42,20.2
经营活动产生的现金流量净额,-769.10万,-1040.67万,-426.46万,938.38万,-2366.08万,1516.02万,57.24万,382.17万,-522.53万,23.28万
基本每股收益(元),-0.08,-0.49,-0.46,0.14,0.63,0.64,0.33,0.55,0.03,0.21
稀释每股收益(元),0.00,-0.49,-0.46,0.14,0.63,0.64,0.33,0.00,0.03,0.21
每股净资产(元),1.95,2.03,2.52,2.98,2.91,2.31,1.77,2.38,1.34,1.31
每股经营现金流(元),0.00,-0.06,0.00,-0.04,-0.12,-0.20,0.17,0.43,0.08,0.07
加权净资产收益率(%),-5.67,-22.04,-18.27,0.67,23.32,30.19,20.70,26.21,1.23,17.71
毛利率(%),20.63,15.50,10.73,32.06,40.90,41.43,38.18,49.21,43.08,40.87
净利率(%),-18.68,-28.67,-23.80,6.58,18.67,20.41,16.54,19.71,1.63,10.05
资产负债率(%),0.00,37.48,33.07,23.40,27.38,21.01,13.02,18.41,21.69,25.60
流动比率,0.00,2.31,2.83,3.33,3.33,4.20,6.69,4.21,2.78,1.51
速动比率,0.00,2.28,2.80,3.29,3.24,4.20,6.69,4.14,2.78,1.51
