0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,3339.04万,8153.39万,8958.61万,7586.74万,8627.72万,6742.58万,6316.55万,3952.08万,3306.22万,1595.34万
同比(%),50.83,-8.99,18.08,-12.07,27.96,6.74,59.83,19.53,107.24,62.07
利润总额,-166.69万,203.64万,328.10万,204.26万,703.14万,768.63万,429.86万,-1620.19万,-48.29万,5.46万
净利润,-187.32万,260.64万,357.17万,232.99万,684.90万,751.21万,432.64万,-1608.99万,-34.91万,4.25万
同比(%),67.13,-27.03,53.3,-65.98,-8.83,73.63,126.89,-4509.28,-921.97,-95.02
资产总计,1.38亿,1.44亿,1.21亿,1.06亿,1.05亿,7507.76万,6114.85万,5440.19万,4693.38万,2208.96万
同比(%),24.1,19.33,13.94,0.92,39.96,22.78,12.4,15.91,112.47,40.44
负债总计,9363.71万,9778.72万,7719.12万,6597.94万,6705.45万,4390.11万,3748.41万,3492.24万,1736.40万,1628.07万
所有者权益总计,4451.74万,4639.06万,4363.42万,4006.25万,3802.55万,3117.65万,2366.45万,1947.96万,2956.98万,580.89万
同比(%),17.35,6.32,8.92,5.36,21.97,31.74,21.48,-34.12,409.05,0.74
经营活动产生的现金流量净额,-1194.28万,-821.54万,430.44万,-671.20万,181.58万,-447.76万,-57.74万,-437.38万,-1824.80万,59.70万
基本每股收益(元),-0.08,0.12,0.16,0.10,0.30,0.33,0.19,-0.88,-0.02,0.01
稀释每股收益(元),0.00,0.12,0.16,0.00,0.30,0.00,0.19,-0.88,-0.02,0.01
每股净资产(元),1.96,2.04,1.92,1.76,1.67,1.37,1.04,0.86,1.61,1.15
每股经营现金流(元),-0.74,0.24,0.22,-0.11,0.23,0.05,-0.40,0.48,0.07,0.02
加权净资产收益率(%),-4.65,4.27,6.87,5.95,19.79,25.95,18.21,-74.75,-1.86,0.73
毛利率(%),66.80,55.29,46.41,49.41,49.87,54.12,45.20,35.89,56.92,49.25
净利率(%),-5.61,3.20,3.99,3.07,7.94,11.14,6.85,-40.71,-1.06,0.27
资产负债率(%),0.00,67.82,63.89,62.22,63.81,58.47,61.30,64.19,37.00,73.70
流动比率,0.00,1.35,1.40,1.41,1.39,1.41,1.24,1.11,1.86,0.70
速动比率,0.00,1.11,1.16,1.14,1.17,1.06,0.96,0.69,1.23,0.57
