0,2018,2017,2016,2015,2014
营业总收入,5034.39万,1.69亿,1.68亿,1.21亿,-
同比(%),-1.46,0.74,38.23,-,-
利润总额,270.66万,1308.45万,1541.03万,1249.35万,-
净利润,227.86万,1109.62万,1300.74万,1057.75万,-
同比(%),-12.26,-14.69,22.97,-,-
资产总计,2.23亿,2.03亿,1.39亿,9392.88万,-
同比(%),36.7,45.51,48.34,-,-
负债总计,1.46亿,1.28亿,8530.25万,5290.45万,-
所有者权益总计,7685.49万,7457.84万,5403.18万,4102.44万,-
同比(%),35.72,38.03,31.71,-,-
经营活动产生的现金流量净额,39.09万,-4975.43万,2658.10万,-400.61万,-
基本每股收益(元),0.07,0.37,0.43,0.35,0.07
稀释每股收益(元),0.07,0.37,0.43,0.35,0.07
每股净资产(元),2.48,2.41,1.80,1.37,1.01
每股经营现金流(元),-0.11,0.13,0.01,-0.06,-
毛利率(%),25.35,24.45,27.25,30.80,32.41
净利率(%),4.53,6.56,7.75,8.71,3.60
资产负债率(%),65.47,63.21,61.22,56.32,53.53
流动比率,1.51,1.57,1.61,1.74,1.84
速动比率,0.49,0.41,0.79,1.19,1.63
