0,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,19.79亿,98.08亿,139.60亿,94.86亿,94.60亿,67.37亿,98.53亿,43.18亿,13.83亿
同比(%),-16.52,-29.75,47.17,0.27,40.42,-31.63,128.21,212.25,-34.3
利润总额,4.74亿,19.65亿,26.22亿,22.58亿,26.41亿,18.03亿,15.14亿,4.99亿,1.15亿
净利润,3.89亿,15.85亿,20.09亿,16.40亿,18.65亿,13.38亿,10.99亿,4.07亿,7677.36万
同比(%),-7.1,-21.07,22.49,-12.09,39.45,21.72,170.05,430.04,-73.64
资产总计,453.53亿,469.98亿,436.35亿,389.76亿,312.99亿,242.37亿,200.99亿,145.87亿,132.89亿
同比(%),-8.78,7.71,11.95,24.53,29.14,20.59,37.79,9.77,38.62
负债总计,273.44亿,296.05亿,281.05亿,267.29亿,207.05亿,152.39亿,126.41亿,82.78亿,74.33亿
所有者权益总计,180.09亿,173.93亿,155.30亿,122.47亿,105.95亿,89.98亿,74.57亿,63.09亿,58.56亿
同比(%),11.64,12,26.8,15.6,17.75,20.65,18.21,7.73,38.14
经营活动产生的现金流量净额,-8.07亿,30.98亿,12.76亿,-46.39亿,14.10亿,36.94亿,42.17亿,16.43亿,-22.49亿
每股净资产(元),3.24,3.16,2.86,2.50,2.16,1.79,1.54,1.32,3.87
每股经营现金流(元),-0.18,0.71,0.29,-1.06,0.32,0.84,0.96,0.37,-1.62
加权净资产收益率(%),2.43,10.35,13.42,15.26,18.56,15.06,15.81,6.48,1.65
毛利率(%),38.38,26.38,25.66,33.85,41.87,40.95,25.66,22.44,33.54
净利率(%),19.63,16.17,14.39,17.29,19.72,19.86,11.15,9.43,5.55
资产负债率(%),60.29,62.99,64.41,68.58,66.15,62.88,62.90,56.75,55.93
流动比率,1.25,1.15,1.40,1.26,1.23,1.73,1.84,1.72,1.75
速动比率,0.50,0.51,0.51,0.47,0.55,0.78,0.92,0.41,0.43
