0,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,120.78亿,88.99亿,96.66亿,81.75亿,93.06亿,79.18亿,49.08亿,28.16亿
同比(%),35.73,-7.94,18.24,-12.14,17.52,61.35,74.29,28.67
利润总额,-37.70亿,4.73亿,14.38亿,17.00亿,10.35亿,8.84亿,12.89亿,7.22亿
净利润,-39.08亿,3.91亿,9.05亿,11.73亿,6.02亿,5.81亿,10.10亿,5.28亿
同比(%),-1100.67,-56.82,-22.87,94.96,3.6,-42.5,91.4,-7.78
资产总计,506.43亿,616.54亿,646.20亿,578.42亿,506.21亿,327.75亿,229.15亿,179.47亿
同比(%),-17.86,-4.59,11.72,14.27,54.45,43.03,27.69,99.53
负债总计,438.21亿,492.20亿,518.64亿,459.16亿,400.53亿,256.91亿,172.93亿,132.17亿
所有者权益总计,68.22亿,124.34亿,127.55亿,119.26亿,105.68亿,70.84亿,56.23亿,47.29亿
同比(%),-45.13,-2.52,6.95,12.85,49.18,25.99,18.89,152.75
经营活动产生的现金流量净额,6.19亿,24.77亿,58.03亿,31.33亿,-14.07亿,32.46亿,-2.69亿,-20.91亿
基本每股收益(元),-,-,-,0.47,-,-,-,-
稀释每股收益(元),-,-,-,0.47,-,-,-,-
每股净资产(元),2.68,5.19,5.03,4.52,3.96,123.51,102.70,87.44
每股经营现金流(元),0.28,1.13,2.64,1.42,-0.64,65.02,-5.39,-41.82
加权净资产收益率(%),-46.07,3.08,8.16,11.10,6.69,10.02,19.74,17.12
毛利率(%),14.82,26.33,40.14,43.54,35.87,35.66,47.96,55.44
净利率(%),-32.36,4.39,9.36,14.35,6.46,7.33,20.58,18.74
资产负债率(%),86.53,79.83,80.26,79.38,79.12,79.05,75.46,73.65
流动比率,1.00,1.17,1.16,1.11,1.64,1.47,1.47,1.51
速动比率,0.39,0.40,0.39,0.43,0.68,0.58,0.49,0.55
