0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,177.87亿,319.42亿,431.81亿,1012.09亿,1052.10亿,837.99亿,596.35亿,538.21亿,383.35亿,268.86亿
同比(%),-19.08,-26.03,-57.33,-3.8,25.55,40.52,10.8,40.4,42.58,27.66
利润总额,-39.59亿,37.81亿,-455.21亿,80.51亿,222.57亿,174.31亿,127.99亿,89.76亿,69.49亿,50.60亿
净利润,-15.46亿,10.65亿,-398.36亿,48.06亿,146.85亿,118.03亿,88.07亿,61.68亿,49.87亿,38.01亿
同比(%),5.49,102.67,-928.93,-67.27,24.42,34.02,42.78,23.68,31.19,41.51
资产总计,3737.33亿,4086.03亿,4409.64亿,4887.62亿,4578.12亿,4097.12亿,3758.65亿,2499.03亿,1686.23亿,1139.64亿
同比(%),-10.44,-7.34,-9.78,6.76,11.74,9.01,50.4,48.2,47.96,53.81
负债总计,3492.53亿,3842.66亿,4171.38亿,3973.32亿,3841.26亿,3549.96亿,3048.32亿,2118.72亿,1429.93亿,965.68亿
所有者权益总计,244.80亿,243.36亿,238.27亿,914.30亿,736.86亿,547.16亿,710.33亿,380.32亿,256.30亿,173.96亿
同比(%),48.45,2.14,-73.94,24.08,34.67,-22.97,86.77,48.39,47.33,74.74
经营活动产生的现金流量净额,-13.23亿,1.37亿,-26.46亿,-231.60亿,-318.19亿,-74.28亿,-162.28亿,77.63亿,74.50亿,-49.54亿
基本每股收益(元),-0.48,0.41,-10.17,0.97,3.64,3.79,2.85,2.22,1.81,1.34
稀释每股收益(元),-0.48,0.41,-10.17,0.96,3.61,3.77,2.85,2.22,1.81,1.34
每股净资产(元),2.25,2.41,1.62,11.64,14.68,14.58,9.52,8.24,5.11,7.40
每股经营现金流(元),-0.34,0.04,-0.68,-5.92,-10.56,-2.47,-5.49,2.63,2.82,-3.74
加权净资产收益率(%),-21.99,28.39,-152.66,7.27,35.72,35.19,31.61,29.47,42.07,42.83
毛利率(%),21.68,16.17,8.74,37.19,43.68,41.62,48.04,33.03,34.52,35.77
净利率(%),-8.69,3.33,-92.25,4.75,13.96,14.08,14.87,11.46,13.01,14.14
资产负债率(%),93.45,94.04,94.60,81.29,83.90,86.65,81.09,84.78,84.80,84.74
流动比率,1.91,1.54,1.08,1.54,1.58,1.52,1.53,1.40,1.35,1.27
速动比率,1.35,1.02,0.68,0.92,0.48,0.47,0.52,0.48,0.47,0.35
