0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,4936.68万,1752.51万,3805.59万,2614.59万,110.97万,3502.30万,850.07万,259.45万,1489.24万,963.19万
同比(%),254.9,-53.95,45.55,2256.04,-96.83,312,227.64,-82.58,54.61,-
利润总额,-6060.28万,-8628.60万,-8092.72万,-4384.58万,-3832.08万,3833.44万,-1178.95万,-1111.39万,608.30万,376.03万
净利润,-6071.49万,-8613.94万,-8100.81万,-4385.45万,-3832.08万,3833.44万,-1122.86万,-1115.28万,565.32万,322.66万
同比(%),16.19,-6.33,-84.72,-14.44,-199.96,441.4,-0.68,-297.28,75.21,-
资产总计,2.27亿,2.51亿,2.21亿,1.14亿,1.43亿,1.32亿,5372.24万,3692.86万,2219.73万,1680.98万
同比(%),1.03,13.91,92.83,-19.97,8.04,146.37,45.48,66.37,32.05,-
负债总计,1.86亿,1.53亿,1.55亿,4555.82万,2659.11万,3285.42万,3303.73万,2301.50万,859.11万,939.66万
所有者权益总计,4015.01万,9869.11万,6582.47万,6888.82万,1.16亿,9950.42万,2068.50万,1391.36万,1360.62万,741.32万
同比(%),-28.34,49.93,-4.45,-40.82,16.99,381.05,48.67,2.26,83.54,-
经营活动产生的现金流量净额,-2045.68万,-6924.96万,-4732.37万,-3472.01万,-3002.74万,-419.00万,1131.91万,-57.40万,-512.23万,1206.84万
基本每股收益(元),-1.02,-1.58,-1.65,-1.08,-0.87,14.27,-3.73,-3.81,2.58,1.50
稀释每股收益(元),-1.02,-1.58,-1.65,-1.08,-0.87,14.27,-3.73,-3.81,2.58,1.50
每股净资产(元),0.00,1.67,1.08,1.24,2.32,33.03,6.02,4.86,6.14,3.43
每股经营现金流(元),-0.54,0.69,1.28,-0.15,-0.50,6.74,5.42,3.89,-0.46,0.05
加权净资产收益率(%),-95.17,-250.32,-697.56,-81.45,-50.81,6.23,-65.04,-79.84,39.23,45.75
毛利率(%),53.40,45.22,35.49,8.75,44.41,87.97,87.96,61.35,82.12,79.44
净利率(%),-122.99,-491.52,-212.87,-214.42,-3453.14,109.45,-132.09,-429.86,37.96,33.50
资产负债率(%),0.00,60.74,70.17,39.81,18.60,24.82,61.50,62.32,38.70,55.90
流动比率,0.00,1.21,0.83,1.17,4.40,3.12,1.08,0.82,1.78,1.53
速动比率,0.00,1.10,0.81,1.14,4.06,3.08,1.08,0.82,1.78,1.53
