0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,117.23亿,259.67亿,359.23亿,301.35亿,198.16亿,154.98亿,133.09亿,97.62亿,73.84亿,69.50亿
同比(%),-25.72,-27.72,19.21,52.07,27.86,16.44,36.33,32.21,6.24,1.34
利润总额,-2.50亿,16.23亿,60.09亿,41.97亿,40.35亿,42.02亿,39.19亿,19.49亿,13.27亿,18.79亿
净利润,-2.64亿,9.02亿,45.13亿,29.85亿,27.80亿,31.24亿,29.62亿,15.41亿,10.12亿,13.72亿
同比(%),-118.82,-80.03,51.2,7.37,-11.01,5.46,92.21,52.24,-26.24,-0.76
资产总计,1656.75亿,1728.38亿,1714.54亿,1474.86亿,1143.89亿,771.96亿,525.20亿,403.22亿,287.32亿,249.03亿
同比(%),-0.35,0.81,16.25,28.93,48.18,46.98,30.25,40.34,15.37,20.63
负债总计,1321.12亿,1338.22亿,1285.29亿,1094.49亿,870.26亿,601.76亿,383.67亿,298.38亿,183.47亿,154.55亿
所有者权益总计,335.63亿,390.16亿,429.24亿,380.37亿,273.63亿,170.20亿,141.52亿,104.83亿,103.85亿,94.48亿
同比(%),-15.62,-9.1,12.85,39.01,60.77,20.26,35,0.95,9.92,34.85
经营活动产生的现金流量净额,104.62亿,210.58亿,-61.17亿,4.36亿,-64.04亿,48.84亿,43.71亿,28.32亿,23.91亿,10.19亿
每股净资产(元),12.36,13.75,13.86,12.00,9.92,8.96,6.89,5.18,4.20,3.80
每股经营现金流(元),6.67,14.34,-4.53,0.30,-4.36,3.33,2.98,1.93,1.63,0.69
加权净资产收益率(%),-1.57,3.54,19.83,15.54,15.49,25.64,24.94,18.82,8.93,15.53
毛利率(%),19.16,19.74,24.63,22.02,26.98,35.02,33.38,29.38,30.50,37.36
净利率(%),-2.25,3.47,12.56,9.91,14.03,20.16,22.26,15.79,13.71,19.75
资产负债率(%),79.74,77.43,74.67,74.21,76.08,77.95,73.05,74.00,63.86,62.06
流动比率,1.08,1.15,1.22,1.22,1.14,1.22,1.26,1.67,1.64,1.47
速动比率,0.27,0.31,0.35,0.46,0.48,0.57,0.42,0.51,0.52,0.52
