0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,660.44万,2258.24万,3609.20万,4472.42万,1.65亿,1.16亿,7711.57万,8689.23万,4393.96万,2188.48万
同比(%),-30.15,-37.43,-19.3,-72.94,42.67,50.22,-11.25,97.75,100.78,63.69
利润总额,-559.49万,-1080.43万,-2377.82万,-2.90万,70.84万,213.17万,779.06万,2649.79万,1409.83万,207.88万
净利润,-455.62万,-979.30万,-2063.44万,-169.81万,252.21万,101.42万,740.08万,1964.03万,1060.38万,150.13万
同比(%),-22.31,52.54,-1115.17,-167.33,148.67,-86.3,-62.32,85.22,606.28,169.48
资产总计,1.42亿,1.47亿,1.53亿,1.94亿,2.24亿,1.95亿,1.74亿,1.48亿,4843.07万,1209.16万
同比(%),-8.72,-3.81,-21.14,-13.38,14.84,11.56,17.99,205.35,300.53,56.05
负债总计,3745.11万,3811.69万,3414.87万,5442.92万,8262.14万,5263.14万,3347.79万,1427.69万,1456.74万,1016.00万
所有者权益总计,1.04亿,1.09亿,1.19亿,1.39亿,1.41亿,1.42亿,1.41亿,1.34亿,3386.33万,193.16万
同比(%),-9.23,-8.26,-14.83,-1.21,-0.78,0.72,5.54,294.54,1653.15,107.65
经营活动产生的现金流量净额,-4012.08万,-1312.58万,460.57万,2231.73万,-1186.77万,-4477.46万,-1879.02万,1338.08万,1313.12万,202.15万
基本每股收益(元),-0.04,-0.09,-0.20,-0.02,0.02,0.01,0.07,0.39,1.61,1.56
稀释每股收益(元),0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.39,0.00,1.56
每股净资产(元),1.00,1.05,1.14,1.34,1.36,1.37,1.36,2.32,2.33,1.67
每股经营现金流(元),-0.39,-0.14,0.03,0.20,0.13,-0.37,-0.35,1.27,2.26,1.07
加权净资产收益率(%),-4.45,-8.74,-17.56,-2.54,0.53,-0.04,5.39,26.02,72.86,135.80
毛利率(%),60.27,46.10,36.78,40.98,18.21,19.98,32.72,48.24,53.55,37.01
净利率(%),-68.99,-43.37,-57.17,-3.80,1.53,0.88,9.60,22.60,24.13,6.86
资产负债率(%),0.00,25.95,22.36,28.11,36.96,27.04,19.19,9.65,30.08,84.03
流动比率,0.00,3.26,3.56,2.91,2.49,3.52,5.01,10.09,3.19,1.02
速动比率,0.00,3.20,3.49,2.90,2.47,3.52,5.00,10.05,3.19,1.02
