0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,96.93亿,210.90亿,212.26亿,83.88亿,128.57亿,178.03亿,154.18亿,63.81亿,54.66亿,49.76亿
同比(%),-9.26,-0.64,153.04,-34.76,-27.78,15.47,141.62,16.75,9.84,-15.99
利润总额,-35.67亿,-23.29亿,24.92亿,2.35亿,29.92亿,39.04亿,28.62亿,14.22亿,15.80亿,12.25亿
净利润,-36.67亿,-25.63亿,17.20亿,1.35亿,21.04亿,27.18亿,21.42亿,11.13亿,11.98亿,9.22亿
同比(%),-894.61,-248.96,1178.3,-93.6,-22.6,26.88,92.41,-7.04,29.94,-12.29
资产总计,753.48亿,916.25亿,1210.47亿,1161.83亿,865.85亿,661.72亿,459.38亿,385.54亿,294.45亿,213.15亿
同比(%),-32.75,-24.31,4.19,34.18,30.85,44.05,19.15,30.93,38.14,26.64
负债总计,546.89亿,657.87亿,929.36亿,941.59亿,632.26亿,478.79亿,317.48亿,286.78亿,206.15亿,137.25亿
所有者权益总计,206.59亿,258.39亿,281.11亿,220.24亿,233.60亿,182.93亿,141.90亿,98.76亿,88.30亿,75.90亿
同比(%),-26.98,-8.08,27.64,-5.72,27.7,28.91,43.68,11.84,16.33,63.76
经营活动产生的现金流量净额,14.83亿,20.18亿,55.75亿,-98.31亿,27.97亿,28.60亿,22.10亿,36.90亿,-55.02亿,17.73亿
每股净资产(元),5.16,6.71,8.58,7.84,7.91,7.01,5.48,4.52,3.86,3.37
每股经营现金流(元),0.99,1.35,3.72,-6.55,1.86,1.91,1.47,2.46,-3.67,1.18
加权净资产收益率(%),-28.46,-21.48,8.73,0.22,13.10,23.37,20.89,12.78,13.50,12.99
毛利率(%),5.62,7.76,16.53,18.60,30.34,30.48,31.25,33.59,43.49,41.26
净利率(%),-37.83,-12.15,8.11,1.60,16.36,15.27,13.89,17.45,21.91,18.52
资产负债率(%),72.58,71.84,76.88,81.04,73.02,72.36,69.11,74.38,70.01,64.39
流动比率,1.17,1.23,1.24,1.35,1.51,1.70,1.43,1.71,2.22,1.57
速动比率,0.65,0.61,0.56,0.63,0.75,0.75,0.57,0.70,0.69,0.60
