0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,-,-,-,-,-,-,121.76亿,95.97亿,84.43亿,105.64亿
同比(%),-,-,-,-,-,-,26.87,13.67,-20.08,5.2
利润总额,-98.00亿,-106.97亿,40.81亿,100.63亿,136.19亿,53.91亿,55.55亿,45.27亿,46.62亿,46.46亿
净利润,-99.29亿,-98.42亿,25.63亿,69.01亿,100.56亿,41.55亿,36.05亿,34.62亿,34.13亿,32.68亿
同比(%),-2067.39,-484.02,-62.86,-31.37,142.03,15.25,4.14,1.42,4.44,18.85
资产总计,1866.46亿,1998.84亿,2322.49亿,2321.98亿,2143.23亿,1845.37亿,1349.45亿,1107.42亿,796.81亿,715.47亿
同比(%),-17.34,-13.94,0.02,8.34,16.14,36.75,21.86,38.98,11.37,16.17
负债总计,1576.84亿,1596.85亿,1725.47亿,1782.82亿,1760.80亿,1527.65亿,1066.99亿,867.33亿,573.23亿,511.11亿
所有者权益总计,289.62亿,401.99亿,597.02亿,539.17亿,382.43亿,317.72亿,282.46亿,240.09亿,223.59亿,204.36亿
同比(%),-50.64,-32.67,10.73,40.99,20.37,12.48,17.65,7.38,9.41,14.54
经营活动产生的现金流量净额,6.46亿,112.29亿,-2181.70万,11.31亿,-42.76亿,-22.72亿,-94.69亿,-20.91亿,3.01亿,-3.76亿
基本每股收益(元),-,-,-,-,-,-,1.17,1.15,1.15,1.12
每股净资产(元),-,-,-,-,-,-,91.31,81.58,77.40,71.71
每股经营现金流(元),-,-,-,-,-,-,-31.32,-7.12,1.04,-1.32
加权净资产收益率(%),-,-,5.51,16.83,30.37,14.31,14.04,14.97,15.98,16.03
毛利率(%),-,-,-,-,-,-,34.09,38.39,36.50,33.16
净利率(%),-,-,-,-,-,-,29.61,36.07,40.43,30.94
资产负债率(%),84.48,79.89,74.29,76.78,82.16,82.78,79.07,78.32,71.94,71.44
流动比率,0.92,1.05,1.10,1.14,1.18,1.33,1.65,1.58,1.32,1.48
速动比率,-,-,1.10,1.14,1.18,1.33,1.65,1.58,1.32,1.48
