0,2017,2016,2015,2014
营业总收入,2511.63万,7402.93万,5761.67万,4357.24万
同比(%),-,28.49,32.23,-
利润总额,-20.76万,370.97万,261.76万,29.21万
净利润,-21.30万,267.17万,207.30万,-23.39万
同比(%),-,28.88,986.47,-
资产总计,1.10亿,1.11亿,3689.10万,2616.11万
同比(%),-,201.13,41.01,-
负债总计,5418.88万,5500.28万,2855.57万,1989.88万
所有者权益总计,5587.40万,5608.70万,833.53万,626.23万
同比(%),-,572.88,33.1,-
经营活动产生的现金流量净额,-2559.47万,2620.53万,230.79万,473.60万
每股净资产(元),1.11,1.11,1.58,1.16
每股经营现金流(元),-0.51,0.52,0.46,0.95
加权净资产收益率(%),-0.38,8.42,30.33,-4.04
毛利率(%),11.89,14.40,17.12,14.91
净利率(%),-0.85,3.61,3.60,-0.54
资产负债率(%),49.23,49.51,77.41,76.06
流动比率,2.00,1.99,1.25,1.28
速动比率,2.00,1.99,1.25,1.27
