0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,142.90亿,193.04亿,201.16亿,429.57亿,391.94亿,308.21亿,245.53亿,213.29亿,175.98亿,3.99亿
同比(%),-3.81,-4.04,-53.17,9.6,27.17,25.53,15.12,21.2,4309.37,5.89
利润总额,-39.77亿,-245.05亿,-149.16亿,49.47亿,55.90亿,33.77亿,17.74亿,14.68亿,15.01亿,1736.34万
净利润,-43.24亿,-261.60亿,-143.51亿,36.76亿,41.59亿,24.96亿,12.51亿,8.90亿,9.54亿,1256.30万
同比(%),63.9,-82.29,-490.39,-11.61,66.62,99.57,40.55,-6.74,7495.66,-44.15
资产总计,1206.60亿,1323.27亿,1745.96亿,2582.64亿,2018.90亿,1508.81亿,952.40亿,733.65亿,562.44亿,7.44亿
同比(%),-18.48,-24.21,-32.4,27.92,33.81,58.42,29.82,30.44,7455.71,11.59
负债总计,1456.59亿,1527.29亿,1676.24亿,2118.68亿,1627.70亿,1237.88亿,761.94亿,593.55亿,448.93亿,1.46亿
所有者权益总计,-250.00亿,-204.02亿,69.72亿,463.96亿,391.21亿,270.93亿,190.46亿,140.10亿,113.51亿,5.98亿
同比(%),-294.72,-392.63,-84.97,18.6,44.39,42.25,35.95,23.42,1797.38,2.14
经营活动产生的现金流量净额,-1.88亿,-10.01亿,-1.08亿,-61.27亿,38.33亿,4.62亿,75.54亿,-26.88亿,14.30亿,3722.31万
基本每股收益(元),-1.43,-8.22,-4.60,1.00,1.05,0.62,0.41,0.41,0.40,0.46
稀释每股收益(元),-1.43,-8.22,-4.60,0.99,1.02,0.60,0.41,0.41,0.40,0.46
每股净资产(元),-9.31,-7.87,0.45,5.40,5.06,3.95,4.69,4.30,4.16,13.32
每股经营现金流(元),-0.06,-0.33,-0.04,-2.02,1.27,0.15,3.54,-1.26,0.67,4.35
加权净资产收益率(%),-,-,-156.29,18.60,23.88,17.07,12.80,9.86,10.51,16.31
毛利率(%),3.00,4.87,-4.41,22.58,28.33,27.75,25.04,24.97,29.65,30.59
净利率(%),-30.26,-135.52,-71.34,8.56,10.61,8.10,5.09,4.17,5.42,5.82
资产负债率(%),120.72,115.42,96.01,82.04,80.62,82.04,80.00,80.90,79.82,85.82
流动比率,0.78,0.84,1.06,1.44,1.47,1.63,1.64,1.63,1.44,1.25
速动比率,0.21,0.21,0.22,0.42,0.44,0.55,0.43,0.35,0.30,0.27
