0,2020,2019,2018,2017,2016,2015,2014
营业总收入,5.07亿,30.49亿,23.18亿,13.17亿,11.55亿,13.91亿,14.88亿
同比(%),-13.18,31.54,76.01,14.03,-16.97,-6.52,-25.26
利润总额,1.12亿,12.18亿,6.46亿,3.58亿,1.35亿,3.70亿,5.98亿
净利润,8225.93万,9.32亿,4.79亿,2.63亿,8254.43万,2.55亿,4.49亿
同比(%),-22.4,94.57,82.13,218.62,-67.63,-43.21,3.22
资产总计,187.81亿,183.94亿,154.35亿,133.67亿,122.11亿,106.49亿,83.85亿
同比(%),19.58,19.17,15.47,9.47,14.67,27,-9.24
负债总计,120.86亿,117.81亿,86.30亿,83.78亿,75.17亿,60.77亿,41.15亿
所有者权益总计,66.95亿,66.12亿,68.05亿,49.90亿,46.94亿,45.71亿,42.69亿
同比(%),-3.13,-2.84,36.37,6.31,2.69,7.07,12.94
经营活动产生的现金流量净额,-3026.20万,-4.28亿,-4.16亿,-4663.63万,-2.68亿,-3764.11万,-21.22亿
每股净资产(元),16.35,16.14,15.90,12.38,11.72,11.41,10.65
每股经营现金流(元),-0.08,-1.07,-1.04,-0.12,-0.67,-0.09,-5.31
加权净资产收益率(%),1.26,14.43,7.62,5.30,1.77,5.59,10.57
毛利率(%),77.71,77.27,69.59,67.35,51.60,60.68,61.36
净利率(%),16.22,30.57,20.66,19.97,7.15,18.33,30.54
资产负债率(%),64.35,64.05,55.91,62.67,61.56,57.07,49.08
流动比率,1.44,1.42,1.74,1.74,1.99,1.83,1.70
速动比率,0.73,0.70,0.79,0.69,0.84,0.78,0.79
