0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,388.26亿,493.14亿,471.05亿,391.34亿,786.56亿,1065.49亿,1355.67亿,1298.55亿,1321.05亿,1145.86亿
同比(%),6.55,4.69,20.37,-50.25,-26.18,-21.4,4.4,-1.7,15.29,24.13
利润总额,154.26亿,180.13亿,185.87亿,187.67亿,337.55亿,443.34亿,337.88亿,448.06亿,405.50亿,345.14亿
净利润,110.57亿,124.99亿,134.33亿,138.30亿,250.96亿,317.95亿,219.91亿,328.85亿,301.09亿,251.01亿
同比(%),1.38,-6.96,-2.87,-44.89,-21.07,44.58,-33.13,9.22,19.95,0.88
资产总计,6115.83亿,5959.59亿,5850.84亿,5623.92亿,5752.16亿,6243.19亿,6891.05亿,7511.46亿,6395.60亿,5642.93亿
同比(%),2.23,1.86,4.03,-2.23,-7.87,-9.4,-8.26,17.45,13.34,30.91
负债总计,3033.60亿,2988.76亿,3001.87亿,2874.19亿,2979.07亿,3595.70亿,4462.53亿,5277.70亿,4536.63亿,4091.49亿
所有者权益总计,3082.24亿,2970.83亿,2848.97亿,2749.73亿,2773.09亿,2647.48亿,2428.52亿,2233.76亿,1858.97亿,1551.44亿
同比(%),4.2,4.28,3.61,-0.84,4.74,9.02,8.72,20.16,19.82,36.25
经营活动产生的现金流量净额,170.37亿,96.86亿,224.71亿,132.06亿,168.05亿,293.00亿,255.84亿,379.76亿,319.09亿,88.32亿
基本每股收益(元),0.40,2.72,2.94,-,5.39,6.51,4.42,6.70,6.62,6.51
稀释每股收益(元),0.40,2.72,2.94,-,5.39,6.51,4.42,6.70,6.62,6.51
每股净资产(元),11.20,64.77,62.03,60.05,58.35,54.29,48.86,45.25,39.85,34.15
每股经营现金流(元),0.63,2.14,4.97,2.92,3.71,6.47,5.65,8.39,7.05,1.97
加权净资产收益率(%),3.63,4.29,4.81,5.05,9.57,12.63,9.39,15.75,17.99,20.91
毛利率(%),64.26,62.21,64.91,70.20,53.69,49.82,42.73,42.48,44.89,46.67
净利率(%),28.48,25.34,28.52,35.34,31.91,29.84,16.22,25.32,22.79,21.91
资产负债率(%),49.60,50.15,51.28,51.11,51.79,57.59,64.76,70.26,70.93,72.51
流动比率,0.99,0.87,1.64,0.99,1.26,1.31,1.29,1.03,0.97,1.11
速动比率,0.98,0.87,1.63,0.98,1.22,0.98,0.86,0.45,0.36,0.49
