0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,36.02亿,28.93亿,20.89亿,17.27亿,18.32亿,19.66亿,20.80亿,17.79亿,16.08亿,14.26亿
同比(%),76.22,38.48,20.95,-,-6.82,-5.48,16.92,10.63,12.76,-7.16
利润总额,8835.36万,2094.36万,-2.89亿,1426.50万,6671.60万,1.19亿,2.18亿,1.88亿,1.36亿,1.24亿
净利润,7578.52万,1988.90万,-2.75亿,2284.98万,8612.47万,1.12亿,2.05亿,1.82亿,1.31亿,1.15亿
同比(%),596.02,107.23,-1304.34,-73.47,-23.1,-45.37,12.64,38.93,13.91,-27.67
资产总计,82.48亿,76.02亿,57.36亿,56.82亿,55.26亿,55.68亿,56.20亿,49.84亿,40.82亿,30.54亿
同比(%),39.35,32.54,0.95,2.82,-0.76,-0.93,12.76,22.1,33.66,2.93
负债总计,51.21亿,45.42亿,26.86亿,22.32亿,20.71亿,21.10亿,21.25亿,16.66亿,13.69亿,9.90亿
所有者权益总计,31.28亿,30.60亿,30.49亿,34.49亿,34.54亿,34.58亿,34.95亿,33.17亿,27.14亿,20.64亿
同比(%),2.53,0.35,-11.59,-0.14,-0.11,-1.06,5.37,22.22,31.49,2.74
经营活动产生的现金流量净额,-1.66亿,-5624.73万,151.82万,-1314.24万,1269.51万,-1.20亿,-2.07亿,-770.63万,-5056.85万,2849.58万
基本每股收益(元),0.09,0.02,-0.32,0.03,0.11,0.13,0.23,0.22,0.24,0.33
稀释每股收益(元),0.09,0.02,-0.32,0.03,0.11,0.13,0.23,0.22,0.24,0.33
每股净资产(元),3.64,3.57,3.56,4.00,4.01,3.95,3.99,5.40,7.35,5.62
每股经营现金流(元),-0.20,-0.07,0.00,-0.02,0.02,-0.14,-0.24,-0.01,-0.14,0.08
加权净资产收益率(%),2.34,0.61,-8.31,0.64,2.63,3.21,5.97,5.98,6.58,5.98
毛利率(%),16.93,12.29,11.47,17.06,17.16,16.01,20.97,18.84,18.52,23.79
净利率(%),2.10,0.69,-13.17,1.32,4.70,5.70,9.84,9.80,8.16,8.03
资产负债率(%),62.08,59.74,46.83,39.29,37.49,37.89,37.81,33.86,33.52,32.43
流动比率,1.29,1.35,1.25,1.31,1.27,1.42,1.26,1.54,1.09,1.43
速动比率,0.90,0.96,0.82,0.92,0.96,1.14,1.07,1.30,0.88,1.09
