0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,8029.41万,2.99亿,3.24亿,2.34亿,3.45亿,4.16亿,2.55亿,3.15亿,15.64亿,11.85亿
同比(%),-21.5,-7.89,38.74,-32.34,-16.96,63.01,-18.92,-79.88,31.93,279.7
利润总额,-907.92万,79.71万,90.14万,-6697.27万,196.35万,35.12万,-5787.66万,-3178.98万,1674.31万,1038.32万
净利润,-907.92万,79.71万,90.14万,-6888.70万,208.68万,81.80万,-5872.61万,-3079.23万,1567.20万,960.04万
同比(%),9.26,-11.57,101.31,-3401.13,155.1,101.39,-90.72,-296.48,63.24,-66.15
资产总计,5.47亿,5.60亿,4.94亿,5.14亿,5.39亿,5.61亿,6.12亿,7.49亿,8.73亿,9.37亿
同比(%),8.19,13.44,-3.96,-4.7,-3.8,-8.34,-18.37,-14.19,-6.85,-26.35
负债总计,5.11亿,5.14亿,4.49亿,4.70亿,4.27亿,4.50亿,5.02亿,5.81亿,6.74亿,7.54亿
所有者权益总计,3641.07万,4548.98万,4469.27万,4379.13万,1.13亿,1.11亿,1.10亿,1.68亿,1.99亿,1.84亿
同比(%),4.97,1.78,2.06,-61.14,1.89,0.75,-34.85,-15.45,8.54,5.52
经营活动产生的现金流量净额,-3743.00万,760.58万,-2790.75万,4165.04万,-2358.34万,-494.20万,-1.08亿,-1.22亿,2124.58万,-1.37亿
基本每股收益(元),-0.05,0.00,0.00,-0.36,0.01,0.00,-0.31,-0.16,0.12,0.07
稀释每股收益(元),-0.05,0.00,0.00,-0.36,0.01,0.00,-0.31,-0.16,0.12,0.07
每股净资产(元),0.19,0.24,0.23,0.23,0.59,0.58,0.58,0.88,1.47,1.35
每股经营现金流(元),-0.14,0.04,-0.15,0.21,-0.16,-0.05,-0.67,-0.14,0.59,-3.94
加权净资产收益率(%),-35.02,-21.64,1.24,-88.05,-1.12,-0.48,-42.95,-20.26,7.40,4.57
毛利率(%),19.37,22.17,25.10,21.55,24.25,21.49,18.12,21.96,5.94,7.81
净利率(%),-11.31,0.27,0.28,-29.49,0.60,0.20,-23.02,-9.79,1.00,0.81
资产负债率(%),0.00,91.88,90.95,91.48,79.11,80.27,82.05,77.51,77.17,80.41
流动比率,0.00,0.80,0.70,0.69,0.71,0.66,0.65,0.79,0.88,0.96
速动比率,0.00,0.64,0.53,0.36,0.36,0.41,0.37,0.58,0.72,0.93
