0,2018,2017,2016,2015,2014
营业总收入,66.26亿,218.06亿,237.68亿,328.86亿,240.40亿
同比(%),-13.07,-8.25,-27.73,36.8,129.21
利润总额,-5.47亿,-16.32亿,2.45亿,28.34亿,16.44亿
净利润,-9.70亿,-22.06亿,-5.36亿,17.55亿,7.53亿
同比(%),-4244.83,-311.21,-130.57,133.07,-3.71
资产总计,2027.03亿,2007.11亿,2075.57亿,1792.57亿,1287.35亿
同比(%),-4.96,-3.3,15.79,39.24,44.93
负债总计,1973.43亿,1943.81亿,1975.69亿,1509.00亿,1067.03亿
所有者权益总计,53.61亿,63.30亿,99.88亿,283.57亿,220.32亿
同比(%),-82.29,-36.62,-64.78,28.71,24.06
经营活动产生的现金流量净额,77.04亿,-4.80亿,-139.11亿,-203.37亿,-203.49亿
每股净资产(元),-1.30,-0.84,1.21,1.93,2.47
每股经营现金流(元),3.85,-0.24,-6.96,-10.17,-10.17
加权净资产收益率(%),-,-,-18.66,5.27,-11.51
毛利率(%),18.48,16.22,17.65,23.59,24.00
净利率(%),-14.68,-10.13,-2.26,5.35,3.14
资产负债率(%),97.36,96.85,86.43,84.18,82.89
流动比率,1.79,1.76,2.00,1.88,1.90
速动比率,0.40,0.41,0.61,0.67,0.66
