0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,5.56亿,8.28亿,8.03亿,6.72亿,5.80亿,4.83亿,4.04亿,3.06亿,2.47亿,1570.32万
同比(%),17.61,3.04,19.57,15.76,20.22,19.55,31.9,24.18,1470.13,4.26
利润总额,1.42亿,2.02亿,1.91亿,1.66亿,1.30亿,1.08亿,1.09亿,9753.58万,9558.94万,143.08万
净利润,1.18亿,1.60亿,1.53亿,1.26亿,1.06亿,8477.63万,9309.20万,8506.61万,8229.42万,105.45万
同比(%),38.33,4.72,21.4,19.41,24.53,-8.93,9.43,3.37,7704.36,10.56
资产总计,12.20亿,10.78亿,9.53亿,8.19亿,6.37亿,5.22亿,3.87亿,3.40亿,2.30亿,1464.75万
同比(%),41.54,13.09,16.35,28.55,22.08,34.77,14.09,47.56,1470.94,-27.73
负债总计,3.62亿,5.18亿,4.65亿,3.93亿,3.41亿,2.08亿,1.49亿,1.47亿,1.02亿,337.22万
所有者权益总计,8.58亿,5.60亿,4.88亿,4.26亿,2.96亿,3.14亿,2.38亿,1.93亿,1.28亿,1127.53万
同比(%),77,14.71,14.5,43.94,-5.79,31.99,23.76,50.77,1032.51,10.32
经营活动产生的现金流量净额,-1.60亿,1.32亿,1.64亿,1.36亿,1.24亿,7595.25万,6313.87万,9617.87万,3228.22万,-648.97万
基本每股收益(元),1.87,2.71,2.61,2.19,1.97,1.03,1.01,0.78,1.73,0.13
稀释每股收益(元),1.87,2.71,2.61,2.19,1.97,1.03,1.01,0.78,1.73,0.13
每股净资产(元),12.34,9.40,8.17,7.07,5.24,4.56,3.50,2.49,1.67,1.41
每股经营现金流(元),-2.33,2.22,2.77,2.28,2.24,1.37,1.16,1.77,0.63,-0.81
加权净资产收益率(%),16.18,30.88,34.82,33.93,45.22,26.28,33.66,37.65,106.12,9.81
毛利率(%),43.39,45.12,45.49,47.87,46.26,46.64,52.09,57.75,59.44,27.48
净利率(%),21.22,19.36,19.05,18.76,18.19,17.56,23.05,27.78,33.38,6.71
资产负债率(%),29.70,48.05,48.78,47.95,53.52,51.31,38.50,43.30,44.51,23.02
流动比率,2.98,1.82,1.85,1.90,1.59,1.65,1.97,2.16,2.19,4.11
速动比率,2.96,1.80,1.83,1.89,1.58,1.63,1.97,2.16,2.19,4.11
