0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,4.57亿,8.17亿,10.35亿,8.71亿,9.22亿,8.60亿,6.80亿,5.22亿,3.60亿,2.63亿
同比(%),2.86,-21.12,18.85,-5.52,7.24,26.47,30.28,45.03,36.54,39.59
利润总额,4494.32万,-4.26亿,-3.20亿,3309.96万,9415.20万,8174.35万,7696.21万,5099.53万,3972.79万,3153.59万
净利润,3857.03万,-4.33亿,-2.70亿,2036.45万,7759.75万,6490.21万,5764.30万,3800.83万,2947.87万,2413.39万
同比(%),130.96,-60.29,-1426.39,-73.76,19.56,12.59,51.66,28.93,22.15,13.49
资产总计,14.43亿,15.59亿,20.16亿,23.04亿,18.20亿,15.64亿,9.33亿,7.28亿,6.14亿,3.55亿
同比(%),-28.41,-22.64,-12.51,26.6,16.38,67.67,28.16,18.52,73.09,38.73
负债总计,15.94亿,17.49亿,17.72亿,17.91亿,10.81亿,9.02亿,5.86亿,4.39亿,4.20亿,1.90亿
所有者权益总计,-1.51亿,-1.90亿,2.43亿,5.13亿,7.39亿,6.62亿,3.47亿,2.89亿,1.94亿,1.65亿
同比(%),-158.07,-178.04,-52.59,-30.53,11.65,90.88,19.95,48.92,17.91,16.8
经营活动产生的现金流量净额,-6743.06万,-7154.57万,-2.88亿,-1.65亿,9276.17万,-1.84亿,2852.65万,-3206.62万,-3903.68万,-4065.35万
基本每股收益(元),0.43,-4.81,-3.00,0.23,0.86,0.92,0.83,0.56,0.62,0.49
稀释每股收益(元),0.00,0.00,-3.00,0.23,0.86,0.00,0.83,0.56,0.62,0.49
每股净资产(元),-1.68,-2.11,2.70,5.70,8.20,7.35,5.02,4.19,3.46,2.92
每股经营现金流(元),-0.07,-0.24,-0.55,-1.02,-0.23,0.85,1.48,0.11,1.23,-0.38
加权净资产收益率(%),-22.61,-1738.87,-71.43,2.93,10.47,16.03,16.70,13.75,16.13,17.80
毛利率(%),19.55,19.23,23.13,23.77,24.29,25.93,23.05,23.67,28.75,29.13
净利率(%),8.45,-53.02,-26.09,2.34,8.42,7.55,8.48,7.29,9.81,10.81
资产负债率(%),0.00,112.18,87.93,77.73,59.41,57.69,62.83,59.49,66.35,52.89
流动比率,0.00,0.90,0.93,1.09,1.63,1.64,1.48,1.60,1.47,1.82
速动比率,0.00,0.56,0.56,0.61,1.08,1.11,1.01,0.84,0.70,0.53
