0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,122.99亿,313.78亿,399.02亿,354.95亿,260.42亿,195.94亿,155.93亿,142.96亿,119.07亿,96.63亿
同比(%),-27.21,-21.36,12.42,36.3,32.91,25.66,9.07,20.06,23.23,33.16
税前利润,10.83亿,41.71亿,121.48亿,132.83亿,98.56亿,68.13亿,61.48亿,47.08亿,38.48亿,21.59亿
净利润,2.92亿,16.14亿,73.36亿,88.15亿,60.18亿,36.48亿,38.68亿,27.49亿,23.35亿,15.08亿
同比(%),-75.94,-78.01,-16.78,46.49,64.98,-5.69,40.69,17.73,54.89,7.67
资产总额,2258.97亿,2337.51亿,2450.56亿,1951.32亿,1624.97亿,1320.55亿,954.91亿,791.28亿,666.62亿,571.54亿
同比(%),-5.33,-4.61,25.59,20.08,23.05,38.29,20.68,18.7,16.64,17.84
负债总额,1636.23亿,1711.49亿,1826.49亿,1433.30亿,1235.90亿,992.50亿,660.17亿,531.87亿,439.04亿,365.44亿
股东权益合计,622.74亿,626.02亿,624.07亿,518.01亿,389.07亿,328.05亿,294.74亿,259.40亿,227.59亿,206.09亿
同比(%),-0.58,0.31,20.47,33.14,18.6,11.3,13.62,13.98,10.43,16.79
经营活动产生的现金流量净额,13.62亿,44.41亿,19.43亿,-120.13亿,27.53亿,10.86亿,13.20亿,13.70亿,4.92亿,-11.51亿
基本每股收益(元),0.02,0.10,1.45,1.47,1.00,0.71,0.84,0.62,0.52,0.35
每股净资产(元),9.95,9.93,9.83,8.74,7.68,6.83,6.34,5.66,5.11,4.66
每股经营现金净流量(元),-,1.07,0.47,-2.90,0.66,-,0.33,0.34,0.12,-0.29
平均净资产收益率(%),0.23,1.00,15.37,17.56,13.67,10.78,13.92,11.45,10.61,7.67
销售毛利率(%),28.84,31.48,31.37,36.11,36.41,38.55,33.51,33.42,32.94,28.8
销售净利率(%),2.37,5.14,18.39,24.84,23.11,18.62,24.8,19.23,19.61,15.6
资产负债率(%),72.43,73.22,74.53,73.45,76.06,75.16,69.13,67.22,65.86,63.94
流动比率,1.19,1.14,1.23,1.36,1.3,1.31,1.28,1.38,1.38,1.49
速动比率,0.42,0.4,0.5,0.65,0.68,0.6,0.7,0.62,0.43,0.44
