0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,2372.97万,5271.48万,5518.22万,4564.67万,3324.23万,2282.64万,2402.75万,2576.49万,2944.68万,2309.93万
同比(%),55.14,-4.47,20.89,37.31,45.63,-5,-6.74,-12.5,27.48,27.1
利润总额,301.50万,861.99万,607.03万,566.75万,423.94万,271.94万,256.74万,40.59万,24.34万,138.99万
净利润,303.78万,867.09万,632.39万,568.89万,423.99万,273.19万,239.00万,-2.00万,7.78万,105.97万
同比(%),287.8,37.11,11.16,34.18,55.2,14.31,12049.24,-125.71,-92.66,13.4
资产总计,5675.99万,5727.66万,4714.55万,3772.56万,3317.09万,3019.20万,2620.44万,2540.46万,2586.76万,1872.57万
同比(%),40.72,21.49,24.97,13.73,9.87,15.22,3.15,-1.79,38.14,22.48
负债总计,1070.69万,1426.14万,1280.11万,970.52万,1083.94万,1189.05万,872.86万,1031.88万,1073.96万,367.54万
所有者权益总计,4605.30万,4301.52万,3434.43万,2802.04万,2233.15万,1830.15万,1747.58万,1508.59万,1512.81万,1505.03万
同比(%),40.72,25.25,22.57,25.47,22.02,4.72,15.84,-0.28,0.52,25.1
经营活动产生的现金流量净额,-101.07万,1004.70万,1120.36万,312.47万,263.89万,634.98万,204.90万,668.73万,152.47万,154.20万
基本每股收益(元),0.15,0.43,0.32,0.28,0.26,0.27,0.18,0.12,-0.03,0.10
稀释每股收益(元),0.15,0.43,0.32,0.28,0.00,0.00,0.18,0.12,0.00,0.10
每股净资产(元),2.30,2.15,1.72,1.40,1.40,1.83,1.56,1.38,1.26,1.30
每股经营现金流(元),-0.05,0.48,0.53,0.14,0.12,0.38,0.14,0.66,0.07,0.24
加权净资产收益率(%),5.07,2.15,-8.56,-3.52,-10.96,-24.60,-24.02,-18.77,-21.51,-7.57
毛利率(%),39.59,47.61,31.40,42.35,51.00,35.73,42.13,32.97,45.01,53.37
净利率(%),12.80,16.45,11.46,12.46,12.75,11.97,9.95,-0.08,0.26,4.59
资产负债率(%),18.86,24.90,27.15,25.73,32.68,39.38,33.31,40.62,41.52,19.63
流动比率,5.20,3.92,3.79,3.84,3.14,2.39,3.01,2.84,2.19,4.75
速动比率,5.20,3.92,3.79,3.84,3.14,2.39,3.01,2.84,2.19,4.75
