0,2023,2022,2021,2020,2019,2018,2017
营业总收入,155.03万,322.49万,1227.96万,1626.13万,2354.07万,4928.95万,3390.82万
同比(%),100.45,-73.74,-24.49,-30.92,-52.24,45.36,-
利润总额,-97.21万,-275.93万,-439.13万,-190.35万,201.55万,134.06万,334.91万
净利润,-96.76万,-268.31万,-444.85万,-154.97万,181.58万,89.32万,223.24万
同比(%),28.68,39.69,-187.05,-185.34,103.31,-59.99,-
资产总计,834.19万,1313.50万,1813.97万,2024.85万,2145.40万,2197.99万,1776.23万
同比(%),-46.64,-27.59,-10.41,-5.62,-2.39,23.74,-
负债总计,464.75万,847.30万,1079.47万,845.50万,811.08万,1045.25万,1312.80万
所有者权益总计,369.44万,466.20万,734.51万,1179.36万,1334.33万,1152.75万,463.43万
同比(%),-38.31,-36.53,-37.72,-11.61,15.75,148.74,-
经营活动产生的现金流量净额,-10.67万,168.04万,25.19万,-98.97万,248.07万,-726.42万,-93.91万
基本每股收益(元),-0.10,-0.27,-0.44,-0.15,0.18,0.15,0.00
稀释每股收益(元),-0.10,-0.27,-0.44,-0.15,0.18,0.15,0.00
每股净资产(元),0.37,0.47,0.73,1.18,1.33,1.15,1.16
每股经营现金流(元),-0.08,0.00,-0.06,-0.08,0.20,-0.19,0.02
加权净资产收益率(%),-23.85,-46.51,-47.08,-21.41,-6.65,12.51,0.00
毛利率(%),26.82,42.15,24.77,30.39,34.68,23.54,33.74
净利率(%),-62.41,-83.20,-36.23,-9.53,7.71,1.81,6.58
资产负债率(%),55.71,64.51,59.51,41.76,37.81,47.55,73.91
流动比率,1.33,1.29,1.47,2.10,2.37,1.84,1.17
速动比率,1.33,0.93,1.18,2.10,2.36,1.83,1.17
