0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,16.44亿,25.69亿,47.99亿,66.51亿,79.57亿,88.43亿,47.79亿,25.68亿,18.89亿,10.88亿
同比(%),-5.75,-46.48,-27.84,-16.41,-10.02,85.05,86.11,35.94,73.58,35.11
利润总额,-2.54亿,-17.47亿,5392.31万,-4.98亿,4.32亿,9.29亿,6.10亿,3.09亿,2.03亿,1.41亿
净利润,-2.09亿,-15.41亿,5124.96万,-4.52亿,3.51亿,7.99亿,5.18亿,2.61亿,1.69亿,1.17亿
同比(%),51.71,-3106.26,111.34,-228.68,-56.05,54.42,98.17,54.99,44.04,21.09
资产总计,167.39亿,172.18亿,190.86亿,195.91亿,195.46亿,163.85亿,109.26亿,53.37亿,36.36亿,19.13亿
同比(%),-1.43,-9.79,-2.58,0.23,19.29,49.96,104.71,46.8,90,58.85
负债总计,134.97亿,136.11亿,139.41亿,147.43亿,143.45亿,117.55亿,71.98亿,26.75亿,26.75亿,11.60亿
所有者权益总计,32.42亿,36.07亿,51.45亿,48.48亿,52.00亿,46.30亿,37.28亿,26.62亿,9.60亿,7.53亿
同比(%),-31.25,-29.91,6.14,-6.78,12.32,24.19,40.04,177.2,27.52,76.74
经营活动产生的现金流量净额,-2.97亿,-3.70亿,-2.47亿,6.52亿,12.70亿,1.16亿,-5.21亿,-7498.97万,-1.37亿,-1.92亿
基本每股收益(元),-0.12,-0.90,0.03,-0.30,0.21,0.52,0.53,0.67,0.52,0.37
稀释每股收益(元),-0.11,-0.79,0.03,-0.28,0.20,0.51,0.53,0.66,0.51,0.37
每股净资产(元),1.71,1.91,2.80,2.84,3.10,4.28,8.30,6.42,2.94,4.62
每股经营现金流(元),-0.18,-0.22,-0.15,0.43,0.83,0.11,-1.19,-0.18,-0.42,-1.18
加权净资产收益率(%),-6.48,-37.40,1.03,-10.02,7.04,19.38,17.51,12.87,19.87,17.74
毛利率(%),7.06,-14.38,18.02,14.61,23.66,25.02,28.74,28.28,29.58,29.46
净利率(%),-12.72,-59.98,1.07,-6.80,4.42,9.04,10.83,10.17,8.92,10.75
资产负债率(%),80.63,79.05,73.04,75.26,73.39,71.74,65.88,50.12,73.58,60.64
流动比率,0.82,0.94,1.05,1.03,0.99,1.05,1.08,1.47,1.06,1.36
速动比率,0.80,0.92,1.03,1.01,0.53,0.56,0.54,0.88,0.48,0.76
