0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,27.44亿,41.12亿,61.47亿,56.37亿,55.70亿,43.08亿,5.34亿,4.27亿,3.87亿,4.51亿
同比(%),-11.91,-33.11,9.05,1.2,29.29,707.31,24.85,10.47,-14.19,16.23
利润总额,-7031.49万,-16.25亿,5029.56万,6.18亿,6.31亿,4.29亿,6084.85万,5671.32万,6095.55万,5080.59万
净利润,-6555.99万,-15.09亿,6609.11万,5.63亿,5.58亿,3.76亿,5452.51万,5063.11万,5342.19万,4455.51万
同比(%),83.35,-2382.93,-88.26,0.96,48.46,589.11,7.69,-5.22,19.9,-14.58
资产总计,73.49亿,78.99亿,112.73亿,89.66亿,70.02亿,58.21亿,12.60亿,6.58亿,4.64亿,4.45亿
同比(%),-21.69,-29.93,25.73,28.05,20.28,362.19,91.55,41.6,4.38,6.62
负债总计,45.77亿,50.64亿,67.29亿,47.17亿,33.60亿,25.78亿,2.09亿,7175.07万,7684.43万,9781.76万
所有者权益总计,27.72亿,28.35亿,45.44亿,42.49亿,36.42亿,32.43亿,10.51亿,5.86亿,3.88亿,3.47亿
同比(%),-29.9,-37.61,6.95,16.66,12.32,208.62,79.38,51.16,11.66,10.02
经营活动产生的现金流量净额,3.75亿,9940.34万,-1.48亿,2666.89万,2.69亿,6066.17万,1.01亿,3133.33万,6213.51万,2717.75万
基本每股收益(元),-0.18,-3.91,0.18,1.45,1.49,1.01,0.22,0.65,0.82,0.69
稀释每股收益(元),-0.18,-3.91,0.18,1.44,1.48,0.99,0.22,0.65,0.82,0.69
每股净资产(元),6.49,6.66,11.04,10.95,9.48,8.42,10.53,6.78,5.98,5.36
每股经营现金流(元),0.97,0.26,-0.38,0.07,0.70,0.16,1.01,0.36,0.96,0.42
加权净资产收益率(%),-2.32,-40.94,1.61,14.25,16.58,13.30,8.85,10.06,14.76,13.67
毛利率(%),23.29,17.55,26.07,30.46,35.94,35.00,29.40,31.90,31.85,31.88
净利率(%),-2.39,-36.69,1.08,9.99,10.01,8.72,10.22,11.84,13.81,9.88
资产负债率(%),62.29,64.09,59.69,52.61,47.98,44.29,16.57,10.91,16.55,21.99
流动比率,1.45,1.35,1.52,1.32,1.38,1.41,5.08,7.11,4.07,2.93
速动比率,1.15,1.10,1.26,1.12,1.14,1.11,4.47,5.76,2.83,1.94
