0,2019,2018,2017,2016,2015,2014
营业总收入,2100.78万,3441.19万,2875.50万,4420.65万,4039.23万,-
同比(%),22.13,19.67,-34.95,9.44,-,-
利润总额,65.99万,-272.92万,481.32万,1131.07万,1414.94万,-
净利润,40.02万,-352.52万,442.35万,931.53万,1054.43万,-
同比(%),-86.23,-179.69,-52.51,-11.66,-,-
资产总计,1.11亿,8942.13万,1.03亿,7898.10万,5406.31万,-
同比(%),6.96,-13.37,30.69,46.09,-,-
负债总计,5603.90万,3516.63万,4543.73万,3123.93万,1563.66万,-
所有者权益总计,5465.53万,5425.50万,5778.02万,4774.18万,3842.65万,-
同比(%),-9.96,-6.1,21.03,24.24,-,-
经营活动产生的现金流量净额,-1935.66万,-772.63万,-1428.90万,-1323.62万,157.35万,-
基本每股收益(元),0.01,-0.09,0.17,0.86,1.00,0.83
稀释每股收益(元),0.01,-0.09,0.17,0.00,1.00,0.00
每股净资产(元),1.75,1.74,1.83,4.09,3.23,2.05
每股经营现金流(元),0.01,-0.64,0.13,-0.39,1.77,-0.03
加权净资产收益率(%),0.73,-4.95,7.53,20.11,43.97,50.42
毛利率(%),33.96,47.90,53.99,64.32,70.78,62.83
净利率(%),1.91,-10.24,15.38,21.07,26.10,16.48
资产负债率(%),50.63,39.33,44.02,39.55,28.92,34.47
流动比率,1.92,2.45,2.14,2.39,3.22,2.52
速动比率,1.89,2.39,2.03,2.27,3.22,2.52
