0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,9.10亿,10.73亿,12.98亿,8.72亿,9.30亿,8.31亿,8.08亿,7.25亿,5.76亿,4.75亿
同比(%),20.51,-17.32,48.82,-6.17,11.93,2.86,11.41,25.91,21.09,22.15
利润总额,3394.27万,1932.52万,-1.08亿,2220.57万,8812.43万,8571.35万,8501.97万,4682.08万,2032.51万,734.76万
净利润,3110.51万,1584.54万,-8685.54万,2174.10万,7785.69万,7652.16万,7429.50万,4042.12万,1887.62万,426.61万
同比(%),-24.28,118.24,-499.5,-72.08,1.75,3,83.8,114.14,342.47,-38.38
资产总计,16.37亿,15.86亿,16.35亿,14.63亿,11.88亿,10.06亿,6.70亿,6.31亿,5.64亿,5.58亿
同比(%),5.2,-2.99,11.75,23.15,18.13,50.19,6.09,11.85,1.09,15.01
负债总计,8.89亿,8.60亿,9.28亿,6.57亿,3.98亿,2.66亿,3.21亿,3.49亿,3.34亿,3.47亿
所有者权益总计,7.48亿,7.26亿,7.07亿,8.06亿,7.90亿,7.40亿,3.49亿,2.82亿,2.31亿,2.12亿
同比(%),-0.61,2.67,-12.29,2.08,6.77,111.86,23.76,22.4,8.92,2.06
经营活动产生的现金流量净额,2.60亿,6919.59万,-1747.29万,1.07亿,6275.21万,2898.82万,1.10亿,1.20亿,1.07亿,587.10万
基本每股收益(元),0.16,0.12,-0.41,0.11,0.38,0.46,0.87,0.48,0.22,0.05
稀释每股收益(元),0.16,0.12,-0.41,0.11,0.38,0.46,0.87,0.48,0.22,0.05
每股净资产(元),3.62,3.52,3.39,3.93,3.85,6.49,4.08,3.30,2.74,2.52
每股经营现金流(元),1.26,0.34,-0.08,0.52,0.31,0.25,1.29,1.40,1.27,0.07
加权净资产收益率(%),4.56,3.43,-11.28,2.75,10.19,19.39,23.27,15.83,8.54,2.04
毛利率(%),29.00,31.11,32.83,34.72,38.52,37.75,37.93,36.43,35.42,37.35
净利率(%),3.42,1.48,-6.69,2.49,8.37,9.21,9.20,5.58,3.28,0.90
资产负债率(%),54.32,54.22,56.75,44.90,33.52,26.45,47.86,55.30,59.16,62.09
流动比率,1.22,1.13,1.12,1.40,2.02,2.40,1.18,0.84,0.78,0.83
速动比率,0.90,0.82,0.87,1.12,1.63,1.83,0.85,0.53,0.40,0.43
