0,2020,2019,2018,2017,2016,2015,2014
营业总收入,-,0.00,-60.00万,378.48万,1314.25万,-,-
同比(%),-,100,-115.85,-71.2,-,-,-
利润总额,-1.18万,-48.56万,-475.11万,-335.84万,-1443.34万,-,-
净利润,-1.18万,-48.56万,-475.01万,-335.95万,-1460.60万,-,-
同比(%),-101.96,89.78,-41.39,77,-,-,-
资产总计,244.78万,238.21万,290.37万,663.85万,832.61万,1566.54万,-
同比(%),25.61,-17.96,-56.26,-20.27,-46.85,-,-
负债总计,621.77万,614.02万,720.47万,618.94万,714.35万,187.68万,-
所有者权益总计,-376.99万,-375.81万,-430.10万,44.91万,118.26万,1378.86万,-
同比(%),-1.87,12.62,-1057.7,-62.02,-91.42,-,-
经营活动产生的现金流量净额,310.76,-40.30万,-26.54万,-626.76万,-223.97万,-,-
基本每股收益(元),0.00,-0.04,-0.39,-0.28,-1.22,-0.02,0.00
稀释每股收益(元),0.00,-0.04,0.00,-0.28,-1.17,-0.02,0.00
每股净资产(元),-0.31,-0.31,-0.35,0.04,0.10,1.16,0.73
每股经营现金流(元),0.00,-0.03,0.03,-0.01,-0.16,0.17,-0.04
加权净资产收益率(%),0.31,-11.33,-246.64,-39.93,-204.22,-2.88,0.16
毛利率(%),0.00,0.00,0.00,12.49,17.11,37.10,56.08
净利率(%),0.00,0.00,0.00,-88.76,-111.14,-2.25,0.15
资产负债率(%),254.01,257.76,248.12,93.24,85.80,11.98,3.69
流动比率,0.39,0.39,0.40,0.97,0.94,4.48,26.64
速动比率,0.39,0.39,0.40,0.97,0.94,4.48,26.64
