0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,164.51亿,352.90亿,766.27亿,860.04亿,909.58亿,770.41亿,594.04亿,538.25亿,443.97亿,348.13亿
同比(%),-7.99,-53.95,-10.9,-5.45,18.06,29.69,10.37,21.23,27.53,-4.19
利润总额,-40.68亿,-150.14亿,-140.34亿,103.66亿,129.56亿,120.81亿,246.55亿,96.47亿,90.60亿,88.76亿
净利润,-48.90亿,-155.68亿,-159.89亿,78.38亿,91.67亿,87.29亿,214.26亿,70.66亿,67.32亿,65.08亿
同比(%),28.16,2.63,-303.99,-14.5,5.02,-59.26,203.2,4.97,3.44,-14.95
资产总计,3559.48亿,3631.02亿,3923.58亿,4355.22亿,4272.86亿,3661.53亿,2980.67亿,2263.68亿,1836.61亿,1717.84亿
同比(%),-5.47,-7.46,-9.91,1.93,16.7,22.84,31.67,23.25,6.91,23.23
负债总计,2990.57亿,3009.29亿,3145.04亿,3487.03亿,3475.17亿,2963.23亿,2332.05亿,1795.64亿,1344.87亿,1197.01亿
所有者权益总计,568.92亿,621.73亿,778.54亿,868.19亿,797.69亿,698.30亿,648.62亿,468.04亿,491.74亿,520.83亿
同比(%),-20.07,-20.14,-10.33,8.84,14.23,7.66,38.58,-4.82,-5.58,55.85
经营活动产生的现金流量净额,18.55亿,63.57亿,290.80亿,389.41亿,-136.32亿,2.07亿,-18.01亿,59.17亿,54.14亿,-164.22亿
基本每股收益(元),-1.34,-4.14,-4.29,2.16,2.71,2.60,6.58,2.10,1.76,1.63
稀释每股收益(元),-1.34,-4.14,-4.29,2.16,2.71,2.60,6.58,2.10,1.76,1.63
每股净资产(元),11.79,13.23,17.37,89.88,88.49,84.68,79.33,57.29,60.39,63.99
每股经营现金流(元),0.49,1.69,7.75,41.51,-15.60,0.26,-2.24,7.34,6.72,-20.38
加权净资产收益率(%),-10.69,-27.04,-21.55,9.52,12.02,12.96,40.54,16.68,17.61,15.43
毛利率(%),21.79,17.16,15.99,25.06,33.98,37.91,37.15,32.02,38.22,41.66
净利率(%),-29.72,-44.11,-20.87,9.11,10.08,11.33,36.07,13.13,15.16,18.69
资产负债率(%),84.02,82.88,80.16,80.07,81.33,80.93,78.24,79.32,73.23,69.68
流动比率,1.25,1.23,1.16,1.35,1.58,1.53,1.90,2.04,1.76,1.91
速动比率,0.28,0.29,0.31,0.40,0.49,0.44,0.61,0.80,0.51,0.52
