0,2020,2019,2018,2017,2016,2015,2014
营业总收入,1013.38万,7.83亿,6.03亿,5.28亿,5.61亿,3.81亿,-
同比(%),-97.12,29.85,14.23,-5.91,47.38,-,-
利润总额,-10.52亿,-19.43亿,-18.29亿,-9.87亿,-8.12亿,-9.53亿,-
净利润,-10.52亿,-19.43亿,-18.29亿,-9.87亿,-8.12亿,-9.53亿,-
同比(%),-47.82,-6.24,-85.31,-21.56,14.83,-,-
资产总计,21.51亿,24.80亿,19.00亿,11.20亿,12.73亿,20.09亿,-
同比(%),-9.7,30.56,69.58,-11.99,-36.64,-,-
负债总计,73.54亿,66.32亿,41.08亿,15.00亿,6.66亿,14.84亿,-
所有者权益总计,-52.03亿,-41.51亿,-22.08亿,-3.80亿,6.07亿,5.25亿,-
同比(%),-78.19,-87.98,-481.67,-162.53,15.68,-,-
经营活动产生的现金流量净额,-7.57亿,-22.20亿,-15.83亿,-4.33亿,-6.52亿,-5.19亿,-
基本每股收益(元),-2.65,-4.90,-4.61,-2.49,-2.05,-2.54,-1.53
稀释每股收益(元),-2.65,-4.90,-4.61,-2.49,-2.05,-2.54,-1.53
每股净资产(元),-13.12,-10.46,-5.57,-0.96,1.53,1.40,2.30
每股经营现金流(元),-0.12,-0.56,0.52,0.03,-0.57,0.71,-0.02
毛利率(%),-10525.37,-207.34,-303.23,-226.64,-169.67,-232.66,-142.89
净利率(%),-10382.39,-248.19,-303.35,-186.99,-144.73,-250.45,-140.73
资产负债率(%),341.96,267.37,216.25,133.89,52.30,73.87,36.22
流动比率,0.03,0.05,0.11,0.12,0.27,0.83,2.08
速动比率,0.03,0.05,0.11,0.12,0.26,0.83,2.07
