0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,39.58亿,46.65亿,71.41亿,42.06亿,77.58亿,80.74亿,52.09亿,44.23亿,51.32亿,20.58亿
同比(%),50.28,-34.68,69.79,-45.79,-3.92,55.01,17.78,-13.83,149.37,-
利润总额,8.12亿,9.55亿,13.81亿,15.00亿,27.64亿,26.78亿,16.76亿,14.18亿,19.46亿,7.73亿
净利润,5.89亿,8.02亿,8.47亿,12.47亿,20.93亿,20.60亿,11.10亿,10.87亿,14.49亿,5.19亿
同比(%),20.15,-5.24,-32.09,-40.45,1.61,85.66,2.06,-24.93,178.89,-
资产总计,316.28亿,324.67亿,357.58亿,362.97亿,302.99亿,267.48亿,238.97亿,202.29亿,169.21亿,135.38亿
同比(%),-4.94,-9.2,-1.49,19.8,13.28,11.93,18.13,19.55,24.99,-
负债总计,181.43亿,198.53亿,224.63亿,233.42亿,180.07亿,164.09亿,154.13亿,127.18亿,105.31亿,90.54亿
所有者权益总计,134.85亿,126.15亿,132.95亿,129.56亿,122.92亿,103.38亿,84.84亿,75.12亿,63.90亿,44.83亿
同比(%),2.69,-5.11,2.62,5.4,18.89,21.85,12.95,17.55,42.53,-
经营活动产生的现金流量净额,21.08亿,-7.93亿,-9.43亿,5.48亿,7.80亿,-25.37亿,9.59亿,33.06亿,-5.16亿,10.00亿
基本每股收益(元),-,-,-,-,-,-,8.96,8.78,-,-
稀释每股收益(元),-,-,-,-,-,-,8.96,8.78,-,-
每股净资产(元),107.81,100.79,106.29,103.53,98.23,82.46,67.50,58.17,49.21,34.57
每股经营现金流(元),17.02,-6.41,-7.62,4.42,6.30,-20.49,7.75,26.70,-4.17,8.08
加权净资产收益率(%),4.55,6.25,6.54,9.91,18.70,22.16,14.24,16.23,26.47,11.74
毛利率(%),26.34,28.99,24.23,44.29,41.13,42.08,39.92,45.50,48.20,54.98
净利率(%),14.88,17.20,11.86,29.64,26.99,25.52,21.30,24.59,28.22,25.24
资产负债率(%),57.36,61.15,62.82,64.31,59.43,61.35,64.50,62.87,62.24,66.88
流动比率,2.63,2.22,2.02,1.76,2.37,2.07,1.58,1.90,2.13,2.05
速动比率,0.52,0.39,0.41,0.48,0.69,0.45,0.49,0.54,0.42,0.51
