0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业收入,33.34亿,56.04亿,114.50亿,157.41亿,145.52亿,93.38亿,85.06亿,84.58亿,63.50亿,40.79亿
同比(%),37.93,-51.06,-27.26,8.17,55.84,9.77,0.57,33.2,55.65,17.6
税前利润,-9.86亿,-46.67亿,-15.62亿,28.67亿,26.70亿,14.05亿,13.58亿,10.83亿,13.40亿,11.67亿
净利润,-11.28亿,-49.05亿,-23.30亿,11.17亿,10.54亿,6.62亿,8.27亿,7.14亿,6.01亿,5.41亿
同比(%),23.99,-110.54,-308.58,5.93,59.22,-19.88,15.76,18.86,10.95,2.47
资产总额,563.20亿,585.00亿,776.19亿,819.12亿,685.37亿,536.29亿,451.71亿,285.07亿,157.23亿,151.78亿
同比(%),-21.2,-24.63,-5.24,19.52,27.8,18.72,58.46,81.3,3.59,37.32
负债总额,565.73亿,576.29亿,708.05亿,709.34亿,599.33亿,460.47亿,381.54亿,237.76亿,119.48亿,119.45亿
股东权益合计,-2.53亿,8.72亿,68.13亿,109.78亿,86.04亿,75.82亿,70.17亿,47.31亿,37.75亿,32.34亿
同比(%),-105.22,-87.21,-37.93,27.58,13.48,8.05,48.3,25.34,16.74,30.87
经营活动产生的现金流量净额,-5.35亿,8.17亿,-53.34亿,-6.09亿,-16.11亿,43.79亿,-43.96亿,-28.26亿,960.30万,-16.86亿
基本每股收益(元),-0.36,-1.59,-0.74,0.26,0.26,0.19,0.26,0.31,0.31,0.33
每股净资产(元),-0.42,-0.05,1.60,2.40,2.20,2.03,1.87,1.86,1.81,1.79
每股经营现金净流量(元),-,-,-1.91,-0.22,-,-,-1.59,-1.13,-,-1.05
平均净资产收益率(%),151.97,-,-36.76,11.49,12.35,9.67,14.37,15.79,17.44,19.54
销售毛利率(%),5.61,-,5.71,24.04,25.48,23.25,21.05,19.46,30.93,40.58
销售净利率(%),-33.83,-,-20.35,7.1,7.25,7.09,9.72,8.44,9.46,13.27
资产负债率(%),100.45,98.51,91.22,86.6,87.45,85.86,84.47,83.4,75.99,78.69
流动比率,0.96,0.97,0.93,1.23,1.13,1.09,1.29,1.46,1.23,1.25
速动比率,0.23,0.23,0.26,0.45,0.4,0.47,0.57,0.8,0.78,0.77
