0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1075.08亿,2143.04亿,2219.94亿,4458.53亿,4268.12亿,4365.52亿,3022.33亿,2050.97亿,1175.15亿,983.77亿
同比(%),54.54,-3.46,-50.21,4.46,-2.23,44.44,47.36,74.53,19.45,16.58
利润总额,-169.07亿,-492.85亿,-5252.05亿,590.34亿,643.19亿,1017.62亿,626.02亿,265.10亿,245.61亿,219.77亿
净利润,-179.35亿,-527.20亿,-5241.72亿,378.46亿,428.35亿,722.39亿,419.98亿,177.01亿,185.24亿,170.16亿
同比(%),49.62,89.94,-1485.03,-11.65,-40.7,72.01,137.26,-4.44,8.86,33.24
资产总计,1.38万亿,1.47万亿,1.71万亿,1.86万亿,1.87万亿,1.64万亿,1.57万亿,1.24万亿,6503.61亿,4416.22亿
同比(%),-9.86,-14.14,-7.84,-0.84,14.43,4.17,26.6,90.68,47.27,45.68
负债总计,1.77万亿,1.83万亿,2.02万亿,1.52万亿,1.49万亿,1.31万亿,1.31万亿,1.15万亿,5758.38亿,3892.66亿
所有者权益总计,-3867.38亿,-3652.62亿,-3117.77亿,3337.13亿,3799.70亿,3222.48亿,2586.73亿,881.42亿,745.23亿,523.56亿
同比(%),-11.91,-17.15,-193.43,-12.17,17.91,24.58,193.47,18.27,42.34,17.09
经营活动产生的现金流量净额,-137.99亿,-256.42亿,-161.59亿,1582.34亿,203.26亿,1346.55亿,-783.98亿,-158.34亿,-9.23亿,-305.93亿
每股净资产(元),-88.83,-84.08,-72.31,59.83,71.58,63.01,54.16,21.29,25.81,18.42
每股经营现金流(元),-3.50,-6.51,-4.10,40.16,5.28,34.18,-19.90,-6.33,-0.37,-12.24
加权净资产收益率(%),-,-,-,13.09,14.62,28.54,29.40,26.91,30.58,36.02
毛利率(%),9.57,11.71,-2.24,25.31,171.71,36.60,36.71,31.37,33.30,33.01
净利率(%),-16.68,-24.60,-236.12,8.49,10.04,16.55,13.90,8.63,15.76,17.30
资产负债率(%),127.97,124.87,118.23,82.02,79.57,80.30,83.52,92.89,88.54,88.14
流动比率,0.79,0.82,0.85,1.34,1.41,1.38,1.43,1.49,1.31,1.35
速动比率,0.17,0.18,0.19,0.34,0.39,0.40,0.50,0.56,0.53,0.60
