0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,1383.41万,2541.39万,5314.17万,5100.67万,5665.47万,4869.29万,4259.92万,4200.95万,4569.56万,5072.59万
同比(%),1.29,-52.18,4.19,-9.97,16.35,14.3,1.4,-8.07,-9.92,61.3
利润总额,-138.24万,-897.89万,-304.03万,406.73万,260.09万,223.92万,77.07万,318.41万,439.88万,245.64万
净利润,-137.50万,-1000.36万,-228.64万,394.31万,267.06万,180.00万,53.06万,268.35万,349.29万,168.99万
同比(%),56.92,-337.54,-157.98,47.65,48.37,239.25,-80.23,-23.17,106.69,17.91
资产总计,3444.72万,3224.01万,4877.78万,5052.89万,4195.21万,4034.66万,3454.18万,3551.94万,3086.81万,2752.25万
同比(%),-15.01,-33.9,-3.47,20.44,3.98,16.8,-2.75,15.07,12.16,179.2
负债总计,1575.93万,1212.93万,1778.66万,1505.13万,864.26万,731.26万,381.22万,557.04万,1369.01万,1318.73万
所有者权益总计,1868.78万,2011.08万,3099.12万,3547.76万,3330.95万,3303.39万,3072.96万,2994.91万,1717.80万,1433.52万
同比(%),-30.75,-35.11,-12.65,6.51,0.83,7.5,2.61,74.35,19.83,45.42
经营活动产生的现金流量净额,-91.15万,-200.82万,254.82万,132.78万,267.50万,-31.57万,248.48万,335.89万,-69.83万,-
基本每股收益(元),-0.05,-0.35,-0.08,0.14,0.09,0.07,0.02,0.14,0.35,-
稀释每股收益(元),-0.05,-0.35,-0.08,0.14,0.09,0.07,0.02,0.14,0.35,-
每股净资产(元),0.65,0.70,1.05,1.20,1.13,1.29,1.22,1.20,1.72,-
每股经营现金流(元),0.04,0.03,0.02,-0.18,0.00,-0.07,0.07,0.21,-0.16,-
加权净资产收益率(%),-6.75,-40.25,-9.26,10.23,6.75,3.33,1.37,12.34,22.69,11.79
毛利率(%),40.48,34.05,39.51,41.48,40.79,42.20,42.61,42.48,46.47,-
净利率(%),-9.94,-39.36,-4.30,7.73,4.71,3.70,1.25,6.39,7.64,3.33
资产负债率(%),45.75,37.62,36.46,29.79,20.60,18.12,11.04,15.68,44.35,47.91
流动比率,1.54,1.78,2.09,2.59,3.41,3.61,5.41,3.81,1.09,-
速动比率,1.46,1.69,2.06,2.56,3.39,3.45,5.34,3.80,1.09,-
