0,2023,2022,2021,2020,2019,2018,2017,2016
营业总收入,79.23亿,141.39亿,160.86亿,278.25亿,241.42亿,101.45亿,86.15亿,39.48亿
同比(%),38.76,-12.11,-42.19,15.25,137.96,17.77,118.2,-
利润总额,7554.27万,-40.41亿,-47.96亿,20.10亿,14.46亿,17.26亿,38.76亿,26.66亿
净利润,9580.32万,-38.69亿,-48.60亿,15.01亿,10.85亿,13.84亿,35.39亿,24.89亿
同比(%),103.54,20.38,-423.81,38.35,-21.6,-60.9,42.21,-
资产总计,554.94亿,635.40亿,786.91亿,1064.91亿,977.73亿,846.64亿,566.02亿,235.57亿
同比(%),-22.43,-19.25,-26.11,8.92,15.48,49.58,140.28,-
负债总计,544.92亿,624.47亿,733.73亿,856.08亿,799.82亿,683.44亿,439.33亿,164.55亿
所有者权益总计,10.01亿,10.93亿,53.18亿,208.83亿,177.90亿,163.20亿,126.69亿,71.02亿
同比(%),-55.54,-79.46,-74.53,17.38,9.01,28.82,78.39,-
经营活动产生的现金流量净额,-2.07亿,6.62亿,-58.65亿,10.69亿,79.01亿,153.35亿,91.81亿,-27.87亿
每股净资产(元),-0.18,-0.14,1.07,3.31,2.80,3.93,2.99,-
每股经营现金流(元),-0.06,0.21,-1.83,0.33,2.47,5.11,3.06,-
加权净资产收益率(%),-,-261.20,-68.22,16.43,9.27,8.68,28.16,34.51
毛利率(%),4.66,5.40,7.18,19.61,23.30,30.94,36.51,33.71
净利率(%),1.21,-27.37,-30.21,5.39,4.49,13.64,41.09,63.04
资产负债率(%),98.20,98.28,93.24,80.39,81.80,80.72,76.74,69.85
流动比率,0.97,0.99,1.15,1.33,1.44,1.56,1.92,2.40
速动比率,0.18,0.18,0.23,0.44,0.44,0.45,0.54,0.92
