0,2023,2022,2021,2020,2019,2018,2017
营业总收入,164.94亿,238.99亿,365.46亿,355.76亿,320.43亿,264.83亿,205.54亿
同比(%),32.58,-34.61,2.73,11.03,20.99,28.85,-
利润总额,-6.27亿,-128.09亿,21.23亿,42.60亿,40.61亿,33.40亿,19.13亿
净利润,-9.71亿,-130.01亿,13.61亿,30.30亿,30.10亿,25.22亿,13.64亿
同比(%),51.32,-1055.16,-55.08,0.68,19.34,84.83,-
资产总计,1735.20亿,1873.88亿,2390.04亿,2097.09亿,1539.27亿,1359.77亿,1073.83亿
同比(%),-17.83,-21.6,13.97,36.24,13.2,26.63,-
负债总计,1411.58亿,1538.90亿,1876.01亿,1635.62亿,1203.26亿,1102.39亿,941.97亿
所有者权益总计,323.62亿,334.99亿,514.03亿,461.48亿,336.00亿,257.38亿,131.85亿
同比(%),-30.08,-34.83,11.39,37.34,30.55,95.21,-
经营活动产生的现金流量净额,1.38亿,-62.92亿,119.36亿,-3.02亿,-122.20亿,18.37亿,-18.74亿
每股净资产(元),1.32,1.42,2.71,2.64,2.31,2.24,2.65
每股经营现金流(元),0.02,-0.77,1.46,-0.04,-1.49,0.28,-0.54
加权净资产收益率(%),-,-,4.73,10.98,16.07,22.28,13.70
毛利率(%),7.70,7.96,14.81,19.88,21.51,25.04,23.60
净利率(%),-5.88,-54.40,3.72,8.52,9.39,9.52,6.64
资产负债率(%),81.35,82.12,78.49,77.99,78.17,81.07,87.72
流动比率,1.18,1.20,1.32,1.46,1.47,1.39,1.29
速动比率,0.32,0.31,0.44,0.49,0.47,0.53,0.48
