0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,14.09亿,25.00亿,28.01亿,22.74亿,11.81亿,9.45亿,7.26亿,5.02亿,4.95亿,5.43亿
同比(%),-9.31,-10.77,23.17,92.59,25.02,30.07,44.72,1.4,-8.79,4.35
利润总额,2019.19万,1947.35万,1.18亿,8382.54万,1.02亿,9627.72万,7915.60万,6237.55万,6194.16万,7128.98万
净利润,2211.60万,2091.08万,1.08亿,7836.05万,9269.12万,7587.19万,6145.45万,4835.97万,4834.43万,5397.02万
同比(%),-45.75,-80.64,37.81,-15.46,22.17,23.46,27.08,0.03,-10.42,-8.75
资产总计,22.51亿,23.82亿,21.88亿,20.66亿,24.24亿,11.76亿,8.37亿,7.57亿,6.72亿,7.36亿
同比(%),10.17,8.88,5.91,-14.78,106.17,40.45,10.66,12.52,-8.59,-0.52
负债总计,9.67亿,10.32亿,8.23亿,7.82亿,11.79亿,2.49亿,2.25亿,2.05亿,1.70亿,1.86亿
所有者权益总计,12.83亿,13.51亿,13.65亿,12.84亿,12.45亿,9.26亿,6.13亿,5.51亿,5.03亿,5.49亿
同比(%),-6.37,-1.03,6.26,3.18,34.37,51.22,11.15,9.62,-8.44,10.9
经营活动产生的现金流量净额,911.44万,3898.22万,1.99亿,2.12亿,1.11亿,9277.01万,5791.98万,5161.43万,4137.79万,4399.20万
基本每股收益(元),0.08,0.07,0.44,0.31,0.43,0.40,0.38,0.30,0.31,0.34
稀释每股收益(元),0.08,0.07,0.44,0.31,0.43,0.40,0.38,0.30,0.31,0.34
每股净资产(元),5.47,5.74,5.80,5.45,5.29,4.34,3.79,3.41,3.11,3.40
每股经营现金流(元),0.04,0.17,0.88,0.94,0.49,0.44,0.38,0.33,0.26,0.28
加权净资产收益率(%),1.48,1.27,7.89,5.80,8.52,9.76,10.64,9.27,9.10,10.51
毛利率(%),12.01,11.77,11.65,14.21,17.97,20.18,23.19,29.89,29.11,29.38
净利率(%),1.57,0.84,3.85,3.45,7.85,8.03,8.46,9.64,9.77,9.95
资产负债率(%),42.99,43.31,37.63,37.83,48.65,21.22,26.83,27.15,25.22,25.35
流动比率,1.67,1.65,1.84,1.68,1.67,3.94,2.74,2.55,2.52,2.54
速动比率,1.67,1.65,1.84,1.68,1.66,3.94,2.73,2.55,2.52,2.54
