0,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,141.15亿,180.56亿,207.89亿,180.50亿,188.05亿,160.37亿,152.97亿,152.40亿,161.57亿,159.04亿
同比(%),14.78,-13.15,15.18,-4.02,17.26,4.84,0.37,-5.68,1.59,33.63
利润总额,5.38亿,6.74亿,-10.03亿,12.94亿,6.57亿,8.69亿,7.37亿,6.08亿,3.96亿,3.90亿
净利润,4.71亿,5.47亿,-9.77亿,11.28亿,5.40亿,7.39亿,5.92亿,4.69亿,3.44亿,3.79亿
同比(%),3.48,155.94,-186.65,108.95,-26.91,24.86,26.14,36.14,-9.17,34.25
资产总计,274.41亿,269.44亿,281.79亿,293.82亿,286.34亿,272.89亿,241.06亿,253.51亿,223.32亿,198.22亿
同比(%),2.69,-4.38,-4.09,2.61,4.93,13.2,-4.91,13.52,12.66,30.63
负债总计,193.50亿,193.22亿,205.07亿,193.98亿,195.21亿,184.07亿,164.84亿,179.48亿,159.00亿,140.36亿
所有者权益总计,80.91亿,76.22亿,76.72亿,99.83亿,91.13亿,88.82亿,76.22亿,74.03亿,64.32亿,57.86亿
同比(%),7.44,-0.65,-23.15,9.55,2.6,16.53,2.96,15.1,11.15,23.08
经营活动产生的现金流量净额,-12.12亿,-1.53亿,11.03亿,21.60亿,9.91亿,14.09亿,13.89亿,13.08亿,9.97亿,2.98亿
基本每股收益(元),0.35,0.43,-0.89,0.84,0.31,0.53,0.40,0.30,0.27,0.24
稀释每股收益(元),0.35,0.43,-0.89,0.84,0.31,0.53,0.40,0.30,0.27,0.24
每股净资产(元),6.03,5.62,5.49,7.46,6.75,6.60,5.97,5.79,5.16,4.54
每股经营现金流(元),-1.07,-0.13,0.96,1.87,0.86,1.22,1.20,1.13,0.86,0.26
加权净资产收益率(%),6.04,7.73,-13.44,11.55,4.70,8.94,6.90,5.61,5.81,5.37
毛利率(%),15.18,16.69,17.24,18.30,18.45,18.46,15.12,13.94,14.58,15.03
净利率(%),3.33,3.03,-4.70,6.25,2.87,4.61,3.87,3.08,2.13,2.38
资产负债率(%),70.51,71.71,72.77,66.02,68.17,67.45,68.38,70.80,71.20,70.81
流动比率,1.24,1.19,1.15,1.31,1.24,1.23,1.15,1.17,1.30,1.33
速动比率,1.19,1.14,1.09,1.26,1.13,1.11,1.02,1.05,1.08,1.06
