0,2021,2020,2019,2018,2017,2016,2015,2014
营业总收入,113.46亿,221.97亿,221.77亿,152.40亿,117.12亿,93.06亿,103.52亿,122.13亿
同比(%),15.1,0.09,45.52,30.12,25.86,-10.1,-15.24,13.24
利润总额,5157.61万,5.61亿,6.24亿,7.76亿,4.59亿,3.11亿,4.01亿,5.41亿
净利润,3554.24万,3.53亿,4.52亿,5.64亿,3.31亿,2.34亿,2.73亿,3.90亿
同比(%),-83.48,-21.77,-19.91,70.42,41.27,-14.23,-30.03,-26.9
资产总计,636.00亿,643.68亿,557.90亿,381.25亿,277.95亿,249.19亿,197.08亿,187.03亿
同比(%),14.99,15.37,46.33,37.16,11.54,26.44,5.37,29.34
负债总计,524.20亿,535.33亿,456.03亿,304.81亿,210.82亿,186.76亿,153.56亿,145.66亿
所有者权益总计,111.81亿,108.35亿,101.87亿,76.44亿,67.13亿,62.42亿,43.52亿,41.37亿
同比(%),4.96,6.36,33.27,13.87,7.54,43.44,5.19,13.4
经营活动产生的现金流量净额,-13.86亿,18.45亿,8.79亿,24.41亿,1.32亿,5.78亿,-14.72亿,-14.43亿
每股净资产(元),2.02,1.98,1.86,2.29,2.09,1.99,2.96,2.78
每股经营现金流(元),-0.28,0.37,0.18,0.81,0.04,0.19,-1.05,-1.03
加权净资产收益率(%),0.33,3.51,5.46,8.35,4.88,4.42,6.29,10.22
毛利率(%),8.28,8.65,9.01,11.59,11.82,11.74,15.42,14.86
净利率(%),0.31,1.59,2.04,3.70,2.83,2.52,2.64,3.20
资产负债率(%),82.42,83.17,81.11,79.95,75.93,74.95,77.92,77.88
流动比率,1.15,1.13,1.20,1.29,1.33,1.38,1.32,1.27
速动比率,1.11,1.10,0.87,0.95,0.95,1.07,1.01,0.99
